s,mean_a_qopt,mean_a_hot,mean_a_klopt,mean_a_best_fixed,mean_a_maxj,median_hot_defect_recovery,mean_gap_improvement_over_hot,median_gap_improvement_over_hot,fraction_hot_absent_q_near,fraction_q_kl_disjoint,mean_gap_qopt,mean_gap_hot,mean_gap_klopt,mean_gap_best_fixed
0.375,0.727204361702,0.654667932402,0.656875437013,0.710440484257,0.58241798523,0.17486679944,-0.661443310898,-0.652037829471,0.9,1,2.81669128727,2.15524797637,2.14374746029,2.4781963279
0.4,0.75299903931,0.675573048206,0.68981186128,0.736811585158,0.603744009956,0.193818251143,-0.680679988729,-0.684822367352,0.9,1,2.73187200573,2.051192017,2.04177683663,2.37040854276
0.425,0.777223153331,0.696828863743,0.711172719701,0.7617824061,0.62583653212,0.222591465738,-0.681370568661,-0.691625796487,1,1,2.62862473391,1.94725416525,1.92920216871,2.26084445576
0.45,0.799704445971,0.717849371851,0.732034222004,0.785137334045,0.648307098051,0.260249037305,-0.643719163265,-0.694644952729,1,1,2.48730951359,1.84359035033,1.81777987203,2.14976010936
0.475,0.821406248758,0.738452329664,0.752173027492,0.806748145833,0.670803445026,0.29394692314,-0.603807498755,-0.693581490572,1,1,2.34429615673,1.74048865797,1.70791462335,2.03760037164
0.5,0.841856455453,0.758427169964,0.771415930005,0.826563313931,0.693017851185,0.323272816643,-0.574872683671,-0.571840323529,1,1,2.21320535721,1.63833267354,1.60005940647,1.92494943103
0.525,0.860888701544,0.777467032625,0.789639433764,0.844594771927,0.714693019771,0.354851584375,-0.596843300655,-0.561645231037,1,1,2.1344105782,1.53756727754,1.49468365934,1.81248216943
0.55,0.877818966453,0.795462409838,0.806766208628,0.86090323423,0.735624067144,0.384637157315,-0.585647680628,-0.547904306455,1,1,2.02420148578,1.43855380515,1.39224698992,1.70091885412
0.575,0.892809616593,0.812348142035,0.822759095404,0.875583642403,0.755656775351,0.411908750271,-0.577004217347,-0.530956706045,1,1,1.91875130972,1.34174709237,1.29317828727,1.59098506529
0.6,0.9060953561,0.828096324428,0.837613779204,0.888752100922,0.774683077606,0.436822376794,-0.553233585974,-0.511212665478,1,1,1.80101372536,1.24778013939,1.19785994622,1.48337809153
0.625,0.917982284481,0.842823866752,0.851351211808,0.900535131331,0.792634941596,0.459534286816,-0.608917084448,-0.586805818114,1,1,1.7658839518,1.15696686735,1.10661681931,1.37874036847
0.65,0.928380974564,0.856497209423,0.864010579267,0.911061517275,0.809477662156,0.480198225151,-0.613200668702,-0.546717886705,1,1,1.6829150293,1.0697143606,1.01970942853,1.27763999045
0.675,0.937559472429,0.86906198888,0.875643270749,0.920456597059,0.825203289848,0.498963742025,-0.576051009843,-0.507579565791,1,1,1.56246517658,0.986414166738,0.937330910977,1.18055791284
