instance_id,width,optimizer,step,success_at_step,alpha,line_trials,projection_displacement,energy,gap,pstar,dominant_index,dominant_probability,dominant_gap,dominant_hamming,dominant_local_min,entropy,effective_support,gradient_rms,gradient_ratio,fisher_condition,fisher_rank,fisher_min_kept,fisher_max,theta_norm,theta_target_cosine,beta_projection,transverse_norm,transverse_ratio,update_norm,update_target_cosine,gradient_update_dot,update_fisher_target_cosine,initialization,seed
ct_w3_i1,3,target_direction,150,False,0.02,0,0.0,-12.67684333248572,0.3231566675142794,0.7153313124226832,64512,0.7153313124226832,0.0,0,True,1.6276361396519472,5.091824120045516,0.159867294413862,0.8324282749078044,5250987.610137902,49,1.4949278363797628e-06,7.849847546880396,26.83281572999749,1.0,4.000000000000003,1.7763568394002505e-15,6.620091075326057e-17,0.1341640786499874,1.0,-0.006029639568715,0.999999999999997,exact_target,-1
ct_w3_i1,3,target_direction,199,False,,0,0.0,-12.873196696253297,0.1268033037467049,0.8792633321484894,64512,0.8792633321484894,0.0,0,True,0.7601512973097813,2.138599760411291,0.0730097213615177,0.3801612870680939,110154235.61821435,49,3.324015093276276e-08,3.661543417832557,33.40685558384684,0.9999999999999998,4.979999999999997,1.0401172267682599e-13,3.113484368972415e-15,0.0,,0.0,,exact_target,-1
ct_w3_i2,3,adam,0,False,,0,0.0,-7.41572097307033,3.5842790269296696,0.0048163762573579,64512,0.0048163762573579,0.0,0,True,8.920012474429242,7480.182540113477,0.1531631771921491,1.0,122.00515228360678,47,0.0329589861098936,4.02116611945086,5.477225575051661,1.0,1.0,0.0,0.0,0.1371130763516599,0.3728365888882103,-0.1275252202512019,0.3712751969326073,exact_target,-1
ct_w3_i2,3,adam,35,True,,0,0.0,-10.903273561876524,0.0967264381234755,0.9161126568776022,64512,0.9161126568776022,0.0,0,True,0.4927931474701492,1.636881893206653,0.0192166309288678,0.1254650842399266,530697.9521914487,47,3.669661359762514e-07,0.1947481768862053,7.188539021570272,0.897935266942738,1.1784876516065543,3.163874035887735,0.4901550944546709,0.0,,0.0,,exact_target,-1
ct_w3_i2,3,armijo_gd,0,False,1.0,1,0.0,-7.41572097307033,3.5842790269296696,0.0048163762573579,64512,0.0048163762573579,0.0,0,True,8.920012474429242,7480.182540113477,0.1531631771921491,1.0,122.00515228360678,47,0.0329589861098936,4.02116611945086,5.477225575051661,1.0,1.0,0.0,0.0,1.0500338403293976,0.4132872666143359,-1.102571065836903,0.4341175276034174,exact_target,-1
ct_w3_i2,3,armijo_gd,5,True,,0,0.0,-10.909410268395552,0.0905897316044477,0.9225648397303522,64512,0.9225648397303522,0.0,0,True,0.4699451579319521,1.5999064486330088,0.0180328680759088,0.1177363149974744,244022.5964959649,47,7.558900936306827e-07,0.1844542633133372,7.096933913280989,0.8965099061931097,1.16162306439136,3.1441098355017107,0.4941648551834525,0.0,,0.0,,exact_target,-1
ct_w3_i2,3,diagonal_fisher,0,False,1.0,1,0.0,-7.41572097307033,3.5842790269296696,0.0048163762573579,64512,0.0048163762573579,0.0,0,True,8.920012474429242,7480.182540113477,0.1531631771921491,1.0,122.00515228360678,47,0.0329589861098936,4.02116611945086,5.477225575051661,1.0,1.0,0.0,0.0,1.1338863378664168,0.4490427064562333,-1.1874552278019597,0.4374920269810553,exact_target,-1
ct_w3_i2,3,diagonal_fisher,3,True,,0,0.0,-10.995177839984285,0.004822160015717,0.9951933060315772,64512,0.9951933060315772,0.0,0,True,0.0373554019540925,1.0380618845090632,0.0012682589902445,0.0082804432076611,741885748245.7913,35,2.93167922714279e-14,0.0217497103704547,12.718473383658958,0.6818509468195455,1.583302166382887,9.30345058076083,1.07280211655336,0.0,,0.0,,exact_target,-1
ct_w3_i2,3,exact_natural,0,False,1.0,1,0.0,-7.41572097307033,3.5842790269296696,0.0048163762573579,64512,0.0048163762573579,0.0,0,True,8.920012474429242,7480.182540113477,0.1531631771921491,1.0,122.00515228360678,47,0.0329589861098936,4.02116611945086,5.477225575051661,1.0,1.0,0.0,0.0,5.477225575051661,1.0,-2.3769275691271723,0.9999999999999996,exact_target,-1
ct_w3_i2,3,exact_natural,5,True,,0,0.0,-10.917121691811056,0.0828783081889437,0.9187164190117816,64512,0.9187164190117816,0.0,0,True,0.5820476289922911,1.7896993216162504,0.052710852233753,0.3441483338232482,338246.6664194296,47,6.877553356093181e-06,2.3263094958202784,32.863353450309965,1.0,6.0,0.0,0.0,0.0,,0.0,,exact_target,-1
