instance_id,width,optimizer,success,first_success,minimum_gap,final_gap,gradient_evaluations,projection_displacement,initialization,seed
ct_w5_i3,5,armijo_gd,True,4,0.0889564914352352,0.0889564914352352,9,0.0,exact_target,-1
ct_w5_i3,5,diagonal_fisher,True,3,0.0433376448416034,0.0433376448416034,7,0.0,exact_target,-1
ct_w5_i3,5,exact_natural,True,5,0.0729522742545203,0.0729522742545203,11,0.0,exact_target,-1
ct_w5_i3,5,projected_adam,False,-1,1.657415048037981,1.657415048037981,200,0.0,exact_target,-1
ct_w5_i3,5,ray_projected,False,-1,0.1861705388794714,0.1861705388794714,200,0.0,exact_target,-1
ct_w5_i3,5,target_direction,False,-1,0.1861705388794714,0.1861705388794714,200,0.0,exact_target,-1
ct_w5_i4,5,adam,True,33,0.0965271831567875,0.0965271831567875,34,0.0,exact_target,-1
ct_w5_i4,5,armijo_gd,True,4,0.09113095943691,0.09113095943691,9,0.0,exact_target,-1
ct_w5_i4,5,diagonal_fisher,True,2,0.0507472790525227,0.0507472790525227,5,0.0,exact_target,-1
ct_w5_i4,5,exact_natural,True,5,0.0489974169076923,0.0489974169076923,11,0.0,exact_target,-1
ct_w5_i4,5,projected_adam,False,-1,1.415180816404959,1.415180816404959,200,0.0,exact_target,-1
ct_w5_i4,5,ray_projected,False,-1,0.1331954098725187,0.1331954098725187,200,0.0,exact_target,-1
ct_w5_i4,5,target_direction,False,-1,0.1331954098725187,0.1331954098725187,200,0.0,exact_target,-1
ct_w5_i5,5,adam,True,32,0.0988802562552564,0.0988802562552564,33,0.0,exact_target,-1
ct_w5_i5,5,armijo_gd,True,5,0.0809022287708707,0.0809022287708707,11,0.0,exact_target,-1
ct_w5_i5,5,diagonal_fisher,True,3,0.0105194781102238,0.0105194781102238,7,0.0,exact_target,-1
ct_w5_i5,5,exact_natural,True,5,0.0671531038352455,0.0671531038352455,11,0.0,exact_target,-1
ct_w5_i5,5,projected_adam,False,-1,1.539772779902119,1.539772779902119,200,0.0,exact_target,-1
ct_w5_i5,5,ray_projected,False,-1,0.1764471044443709,0.1764471044443709,200,0.0,exact_target,-1
ct_w5_i5,5,target_direction,False,-1,0.1764471044443709,0.1764471044443709,200,0.0,exact_target,-1
ct_w6_i1,6,adam,False,-1,1.00647829271748,1.00647829271748,200,0.0,exact_target,-1
ct_w6_i1,6,armijo_gd,True,3,0.0750983283086785,0.0750983283086785,7,0.0,exact_target,-1
ct_w6_i1,6,diagonal_fisher,True,3,0.0037274771194031,0.0037274771194031,7,0.0,exact_target,-1
ct_w6_i1,6,exact_natural,True,5,0.0663458220738419,0.0663458220738419,11,0.0,exact_target,-1
ct_w6_i1,6,projected_adam,False,-1,1.3581732218521694,1.3581732218521694,200,0.0,exact_target,-1
