instance_id,instance_width,split,graph,seed,blocks,max_block_size,stored_entries,cosine_exact_natural,cosine_target,relative_error
ct_w4_i5,4,evaluation,width3,42,16,10,427,0.7309624596007986,0.7151495810346074,0.7983684927692667
ct_w4_i5,4,evaluation,width3,50,16,10,427,0.7222153532563634,0.7157283405257986,0.7916453942334336
ct_w4_i5,4,evaluation,width3,101,16,10,427,0.6668346502722933,0.6564008104395321,0.817588689307448
ct_w5_i1,5,calibration,chain,0,16,3,91,0.9299153483382756,-0.8747197924938276,0.3704082012144762
ct_w5_i1,5,calibration,chain,19,16,3,91,0.9495307926805633,-0.889885585886335,0.34188989991865554
ct_w5_i1,5,calibration,chain,42,16,3,91,0.9524836790689011,-0.8586220853950802,0.3069274746200787
ct_w5_i1,5,calibration,chain,50,16,3,91,0.914264294657006,-0.8534314074354887,0.40980942479191756
ct_w5_i1,5,calibration,chain,101,16,3,91,0.9437013526430409,-0.8913845831057748,0.37661715905176096
ct_w5_i1,5,calibration,problem_tree,0,16,3,91,0.6887295977781464,0.008210780106236567,0.7250196935847918
ct_w5_i1,5,calibration,problem_tree,19,16,3,91,0.6691057363926497,0.18245603382348713,0.7432349479341529
ct_w5_i1,5,calibration,problem_tree,42,16,3,91,0.6530454143254183,0.18288572839379644,0.7631887428932449
ct_w5_i1,5,calibration,problem_tree,50,16,3,91,0.6979691008425556,0.2240814294287122,0.7165117298947487
ct_w5_i1,5,calibration,problem_tree,101,16,3,91,0.7437446972163464,0.30902083576328704,0.6719896530062035
ct_w5_i1,5,calibration,width2,0,16,6,271,0.7482628453219499,0.6583809204876794,0.721483473207897
ct_w5_i1,5,calibration,width2,19,16,6,271,0.7752377807594669,0.7386713032298492,0.7093777522199648
ct_w5_i1,5,calibration,width2,42,16,6,271,0.7623406751119056,0.6667937263030914,0.7230572540087473
ct_w5_i1,5,calibration,width2,50,16,6,271,0.7274647667202898,0.6473059757980512,0.7254622747792256
ct_w5_i1,5,calibration,width2,101,16,6,271,0.749717465702647,0.6729405971363277,0.7196840814563957
ct_w5_i1,5,calibration,width3,0,16,9,436,0.7733094842000505,0.7609455981851001,0.7185249888365106
ct_w5_i1,5,calibration,width3,19,16,9,436,0.7801003880085645,0.7568315378679139,0.728108960212272
ct_w5_i1,5,calibration,width3,42,16,9,436,0.7997415582324595,0.7949899946432852,0.7120924066580311
ct_w5_i1,5,calibration,width3,50,16,9,436,0.7085346161110793,0.7074133900146831,0.7616436213812346
ct_w5_i1,5,calibration,width3,101,16,9,436,0.7042321375148417,0.703220223345248,0.7446686717098979
ct_w5_i2,5,evaluation,chain,0,16,3,91,0.9153394696939381,-0.848601599434528,0.4028601729776129
ct_w5_i2,5,evaluation,chain,19,16,3,91,0.929495007045953,-0.8416524386582978,0.36914363290346786
ct_w5_i2,5,evaluation,chain,42,16,3,91,0.914931868344678,-0.7444412528777753,0.4060738189630794
ct_w5_i2,5,evaluation,chain,50,16,3,91,0.8762267114565092,-0.7764247254513427,0.48347495287993936
ct_w5_i2,5,evaluation,chain,101,16,3,91,0.9378827902574733,-0.861884429040609,0.3679093314228377
ct_w5_i2,5,evaluation,problem_tree,0,16,3,91,0.6915787942421603,0.19910751657338965,0.7367463534211034
ct_w5_i2,5,evaluation,problem_tree,19,16,3,91,0.5710146203715386,0.37165570840581674,0.8451641771479093
ct_w5_i2,5,evaluation,problem_tree,42,16,3,91,0.6310301457208568,0.35053848554694017,0.7766086111239445
ct_w5_i2,5,evaluation,problem_tree,50,16,3,91,0.5430055595090751,0.19913328964782603,0.8737613627932064
ct_w5_i2,5,evaluation,problem_tree,101,16,3,91,0.7487378494130964,0.3608790647384709,0.6630253283434486
ct_w5_i2,5,evaluation,width2,0,16,6,286,0.693234964036907,0.6046835333695105,0.7797359291569538
ct_w5_i2,5,evaluation,width2,19,16,6,286,0.7360796593462515,0.6843474592941411,0.7611612948493187
ct_w5_i2,5,evaluation,width2,42,16,6,286,0.710178972891193,0.6502353925966483,0.7785548692340926
ct_w5_i2,5,evaluation,width2,50,16,6,286,0.7238240077663511,0.6204196697318153,0.7534685424047687
ct_w5_i2,5,evaluation,width2,101,16,6,286,0.7579640231035633,0.6725237963838363,0.7416009836959148
ct_w5_i2,5,evaluation,width3,0,16,9,418,0.7452445513769567,0.7197504392140687,0.7729111376313328
ct_w5_i2,5,evaluation,width3,19,16,9,418,0.7333122752948534,0.7214835179705202,0.7768371037776997
ct_w5_i2,5,evaluation,width3,42,16,9,418,0.7356689141089503,0.7098687232615972,0.7814940965828635
ct_w5_i2,5,evaluation,width3,50,16,9,418,0.7429817967378963,0.6914441003648866,0.7463794729294929
ct_w5_i2,5,evaluation,width3,101,16,9,418,0.7717829112026138,0.7600742629494546,0.7626109253433325
ct_w5_i3,5,evaluation,chain,0,16,3,91,0.9279258675705495,-0.7818704387969599,0.37422569368685626
ct_w5_i3,5,evaluation,chain,19,16,3,91,0.9616884709824317,-0.8164063658247905,0.2743647727145848
ct_w5_i3,5,evaluation,chain,42,16,3,91,0.9566024143292968,-0.7973207420094109,0.2917521958656139
ct_w5_i3,5,evaluation,chain,50,16,3,91,0.933645306741148,-0.7610019144780931,0.36166512337470486
ct_w5_i3,5,evaluation,chain,101,16,3,91,0.9399233638500788,-0.7952335084190786,0.3503154344401231
ct_w5_i3,5,evaluation,problem_tree,0,16,3,91,0.5763879170381572,0.23450786440379393,0.8521457992077506
ct_w5_i3,5,evaluation,problem_tree,19,16,3,91,0.5603473925916757,0.4085519197748599,0.8372354620129873
ct_w5_i3,5,evaluation,problem_tree,42,16,3,91,0.5025648281462114,0.22061998795424898,0.8877223685391186
ct_w5_i3,5,evaluation,problem_tree,50,16,3,91,0.5131826011407228,0.23759905564988298,0.8922173202993143
ct_w5_i3,5,evaluation,problem_tree,101,16,3,91,0.5872064029326561,0.36626068282106244,0.8187473674031364
