instance_id,instance_width,split,graph,sample_budget,seed,method,parameter_dimension,success,first_success_step,minimum_gap,initial_gradient_rms,sample_batches,total_samples,stored_metric_entries,first_direction_cosine_exact_ng,first_direction_cosine_projected_target,first_sample_rank,first_sample_alignment_residual,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_fisher_min_kept,final_fisher_max,final_trap_candidate
ct_w3_i5,3,evaluation,chain,256,42,sampled_star_fisher,31,0,,1.0000670589499077,0.346093038183594,199,50944,90,,-0.438264475945546,27,1.8101917090414432,1.0000670589499077,5.190136951334951e-29,0.9999357871729776,1.0,8,1,1.7489631294178176e-05,5.0534478780530536e-05,29183.50343904005,31,1.2779256015197456e-08,0.0003729434618678,1
ct_w3_i5,3,evaluation,chain,256,42,sampled_full_fisher,31,0,,1.0000955418303017,0.346093038183594,199,50944,496,,-0.7826699619799302,27,1.8101917090414432,1.0000955418303017,1.3439711193030703e-34,0.9999230605039272,1.0,8,1,2.4785158139368903e-05,7.161414823438597e-05,404820.92531511455,31,6.024334837483334e-10,0.0002438776803318,1
ct_w3_i5,3,evaluation,chain,256,42,protected_ray_star,31,0,,2.6663109322506617,0.346093038183594,199,50944,90,,-0.98131337498992,27,1.8101917090414432,3.289642928373752,5.052776001535623e-09,0.1717500462823433,2.0,11,1,0.1851745829898289,0.5350427849161136,,-1,,,0
ct_w3_i5,3,evaluation,chain,256,50,sampled_adam,31,0,,3.0252224187281618,0.2576737216594864,199,50944,62,,-0.5300977093733729,27,2.000053681165668,3.0252224187281618,1.4086438653591902e-16,0.9609411625912474,3.0,6,1,0.0056372070654795,0.0218773068094582,38991.32735768156,31,4.203409901874e-06,0.1638965315024892,1
ct_w3_i5,3,evaluation,chain,256,50,sampled_diagonal_fisher,31,0,,2.0000481379928488,0.2576737216594864,199,50944,31,,-0.688476644272797,27,2.000053681165668,2.0000481379928488,8.181232990123581e-21,0.9998738393777916,2.0,4,1,1.2491599636304218e-05,4.847836075737579e-05,2486864.136147027,31,4.09830556528109e-10,0.0010191929129269,1
ct_w3_i5,3,evaluation,chain,256,50,sampled_two_block_fisher,31,0,,1.0000970308728476,0.2576737216594864,199,50944,256,,-0.8114164441524045,27,2.000053681165668,1.0000970308728476,6.448536204918412e-28,0.9999269361537872,1.0,8,1,2.485159722304677e-05,9.644599015761466e-05,197554.66159005844,31,1.452205867505294e-09,0.0002868900387141,1
ct_w3_i5,3,evaluation,chain,256,50,sampled_star_fisher,31,0,,2.000135848905982,0.2576737216594864,199,50944,90,,-0.3849973099544571,27,2.000053681165668,2.000135848905982,1.7459102873084315e-31,0.9920150929051176,2.0,8,1,4.178439196187999e-05,0.000162160082498,13720212.19173546,31,6.854989910925524e-09,0.0940519161501039,1
ct_w3_i5,3,evaluation,chain,256,50,sampled_full_fisher,31,0,,1.0001888748232377,0.2576737216594864,199,50944,496,,-0.8384172824332361,27,2.000053681165668,1.0001888748232377,9.210655620009717e-16,0.861502355751759,1.0,6,1,4.995921358608347e-05,0.0001938855590874,,-1,,,0
ct_w3_i5,3,evaluation,chain,256,50,protected_ray_star,31,0,,2.3107719290130664,0.2576737216594864,199,50944,90,,-0.9812418948606288,27,2.000053681165668,2.5973376984188388,2.051282644750391e-08,0.177653775910144,2.0,7,0,0.2187342370304239,0.84888065271739,,-1,,,0
ct_w3_i5,3,evaluation,chain,256,101,sampled_adam,31,0,,2.0275862759541976,0.352638920080049,199,50944,62,,-0.5300976873440828,26,1.789300578848158,2.0275862759541976,5.0649326173588864e-18,0.980393301100796,2.0,7,0,0.0065519676917567,0.018579820089823,997.7559593126556,31,3.64814700341849e-05,0.036399604131094,1
ct_w3_i5,3,evaluation,chain,256,101,sampled_diagonal_fisher,31,0,,2.000060618272821,0.352638920080049,199,50944,31,,-0.6921588375338459,26,1.789300578848158,2.000060618272821,6.062156821244671e-34,0.9999429098793194,2.0,10,1,1.4908686559895538e-05,4.227748473285725e-05,347294.6419758578,31,4.365444987729777e-10,0.0001516095654078,1
ct_w3_i5,3,evaluation,chain,256,101,sampled_two_block_fisher,31,0,,2.00012828433813,0.352638920080049,199,50944,256,,-0.6083705849671237,26,1.789300578848158,2.00012828433813,8.26618631147655e-32,0.9998016573426228,2.0,10,1,3.394749553616349e-05,9.626701309219476e-05,602145.4466299391,31,2.745567594399777e-09,0.0016532310253825,1
ct_w3_i5,3,evaluation,chain,256,101,sampled_star_fisher,31,0,,2.000113332911651,0.352638920080049,199,50944,90,,-0.4431694937252591,26,1.789300578848158,2.000113332911651,1.176351580565527e-28,0.9999105134115616,2.0,10,1,2.882822048525851e-05,8.174996815074895e-05,15635.690839966936,31,1.726882775109608e-08,0.0002700100518847,1
ct_w3_i5,3,evaluation,chain,256,101,sampled_full_fisher,31,0,,2.000189056163407,0.3526389200800596,199,50944,496,,-0.5425574894971651,26,1.789300578848158,2.000189056163407,1.6772855158987905e-29,0.9998533830888038,2.0,10,1,4.99526058108261e-05,0.000141653694378,19394.794134057145,31,2.074889951148932e-08,0.0004024206345335,1
ct_w3_i5,3,evaluation,chain,256,101,protected_ray_star,31,0,,2.480464527011234,0.3526389200800596,199,50944,90,,-0.98136008473298,26,1.789300578848158,2.9966633964552063,3.4533836612232474e-08,0.0909172133209191,1.0,6,1,0.2293581736896418,0.6504051612838725,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,0,sampled_adam,31,1,78.0,0.0990300628352471,0.3772475281891726,78,19968,62,,0.207390392347851,28,0.7663656308167797,0.0990300628352471,0.9151445590791656,0.9151445590791656,0.0,0,1,0.0198397656591077,0.0525908433498311,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,0,sampled_diagonal_fisher,31,1,3.0,0.0364090565011192,0.3772475281891726,3,768,31,,0.3279665016841911,28,0.7663656308167797,0.0364090565011192,0.9669496226549512,0.9669496226549512,0.0,0,1,0.0105050456184825,0.0278465591780227,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,0,sampled_two_block_fisher,31,1,3.0,0.0474923639260875,0.3772475281891726,3,768,256,,-0.1211206906424988,28,0.7663656308167797,0.0474923639260875,0.9591928041887876,0.9591928041887876,0.0,0,1,0.011223364285518,0.0297506635481255,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,0,sampled_star_fisher,31,1,3.0,0.0802568194567641,0.3772475281891726,3,768,100,,0.5474989260416991,28,0.7663656308167797,0.0802568194567641,0.9269196995987232,0.9269196995987232,0.0,0,1,0.0250880018012967,0.0665027599298576,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,0,sampled_full_fisher,31,1,4.0,0.0651452951277828,0.3772475281891726,4,1024,496,,0.1326396550499834,28,0.7663656308167797,0.0651452951277828,0.9396978391784344,0.9396978391784344,0.0,0,1,0.0188271156487246,0.0499065314996145,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,0,protected_ray_star,31,1,23.0,0.0750031473793342,0.3772475281891726,23,5888,100,,0.9786284117810355,28,0.7663656308167797,0.0750031473793342,0.9286797498599836,0.9286797498599836,0.0,0,1,0.0247107181647705,0.0655026642146195,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,19,sampled_adam,31,1,80.0,0.099778015990612,0.3465445613084442,80,20480,62,,0.3110855029188755,30,1.1055641193312091,0.099778015990612,0.9216371643703412,0.9216371643703412,0.0,0,1,0.0176760416858703,0.0510065476691687,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,19,sampled_diagonal_fisher,31,1,3.0,0.0338403908025668,0.3465445613084442,3,768,31,,0.3503338238612167,30,1.1055641193312091,0.0338403908025668,0.968771060424306,0.968771060424306,0.0,0,1,0.007738042614962,0.0223291417004081,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,19,sampled_two_block_fisher,31,1,3.0,0.0760573702664224,0.3465445613084442,3,768,256,,-0.0747079314351914,30,1.1055641193312091,0.0760573702664224,0.9375038104919012,0.9375038104919012,0.0,0,1,0.0204739259970459,0.0590802115599297,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,19,sampled_star_fisher,31,1,3.0,0.0930487763015435,0.3465445613084442,3,768,100,,0.7022506896327289,30,1.1055641193312091,0.0930487763015435,0.9142678060667454,0.9142678060667454,0.0,0,1,0.0213482962410469,0.0616033221252771,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,19,sampled_full_fisher,31,1,4.0,0.0947703085468063,0.3465445613084442,4,1024,496,,0.4980367587994045,30,1.1055641193312091,0.0947703085468063,0.924772605885436,0.924772605885436,0.0,0,1,0.0367260255656103,0.1059777865996347,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,19,protected_ray_star,31,1,23.0,0.0783130139498506,0.3465445613084442,23,5888,100,,0.9735608491013364,30,1.1055641193312091,0.0783130139498506,0.9239990720538364,0.9239990720538364,0.0,0,1,0.0264955921501403,0.0764565227920509,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,42,sampled_adam,31,1,86.0,0.0990458870579811,0.3598818802016043,86,22016,62,,0.2073901407834849,29,0.8891235673074264,0.0990458870579811,0.922621040265818,0.922621040265818,0.0,0,1,0.0192609151449922,0.0535201025797751,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,42,sampled_diagonal_fisher,31,1,3.0,0.0873155511182535,0.3598818802016043,3,768,31,,0.2121120522078677,29,0.8891235673074264,0.0873155511182535,0.9167521251663862,0.9167521251663862,0.0,0,1,0.0273032828395169,0.0758673452084383,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,42,sampled_two_block_fisher,31,1,4.0,0.0231758829874966,0.3598818802016043,4,1024,256,,-0.0928226886898093,29,0.8891235673074264,0.0231758829874966,0.9824207375896848,0.9824207375896848,0.0,0,1,0.0047914481863972,0.0133139467419507,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,42,sampled_star_fisher,31,1,4.0,0.0499963706209616,0.3598818802016043,4,1024,100,,0.4732286684627554,29,0.8891235673074264,0.0499963706209616,0.9590279312254618,0.9590279312254618,0.0,0,1,0.0120279347555674,0.0334218959532763,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,42,sampled_full_fisher,31,1,5.0,0.0877275711519516,0.3598818802016043,5,1280,496,,0.3227035711107979,29,0.8891235673074264,0.0877275711519516,0.9185302195973511,0.9185302195973511,0.0,0,1,0.0298207701864267,0.0828626608533923,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,42,protected_ray_star,31,1,22.0,0.0828252601158414,0.3598818802016043,22,5632,100,,0.9647716873391065,29,0.8891235673074264,0.0828252601158414,0.9210508586417528,0.9210508586417528,0.0,0,1,0.0278007487907503,0.07724964862131,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,50,sampled_adam,31,1,74.0,0.0997429393269246,0.4340120635040076,74,18944,62,,0.1229774909777981,26,0.8600740570672782,0.0997429393269246,0.9245981008719808,0.9245981008719808,0.0,0,1,0.021053657071547,0.0485093822083417,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,50,sampled_diagonal_fisher,31,1,3.0,0.0322178370508723,0.4340120635040076,3,768,31,,0.1545549667689804,26,0.8600740570672782,0.0322178370508723,0.9717388035458724,0.9717388035458724,0.0,0,1,0.008252705329721,0.01901492152797,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,50,sampled_two_block_fisher,31,1,3.0,0.0538269619994089,0.4340120635040076,3,768,256,,-0.0870527063881042,26,0.8600740570672782,0.0538269619994089,0.9516015495465272,0.9516015495465272,0.0,0,1,0.0148451304584726,0.0342044189708001,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,50,sampled_star_fisher,31,1,3.0,0.0683872587881655,0.4340120635040076,3,768,100,,0.4359482342788537,26,0.8600740570672782,0.0683872587881655,0.9373022436702324,0.9373022436702324,0.0,0,1,0.0216104684428383,0.0497923220575152,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,50,sampled_full_fisher,31,1,4.0,0.0795254965408212,0.4340120635040076,4,1024,496,,0.2452076929788315,26,0.8600740570672782,0.0795254965408212,0.9270439667550672,0.9270439667550672,0.0,0,1,0.0327096281095329,0.0753657118317194,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,50,protected_ray_star,31,1,21.0,0.0750358658090686,0.4340120635040076,21,5376,100,,0.9807736281217928,26,0.8600740570672782,0.0750358658090686,0.928824981259434,0.928824981259434,0.0,0,1,0.0251853357834399,0.0580291146289933,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,101,sampled_adam,31,1,76.0,0.0999393235971517,0.3431778840330123,76,19456,62,,0.2765205730294964,30,1.286634133986269,0.0999393235971517,0.913037805139632,0.913037805139632,0.0,0,1,0.0201180739756657,0.058622874350873,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,101,sampled_diagonal_fisher,31,1,4.0,0.0273639391785707,0.3431778840330123,4,1024,31,,0.3186227703047585,30,1.286634133986269,0.0273639391785707,0.9752762882541955,0.9752762882541955,0.0,0,1,0.0058474799793163,0.0170392098424205,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,101,sampled_two_block_fisher,31,1,4.0,0.0389889973792065,0.3431778840330123,4,1024,256,,-0.1600731777244976,30,1.286634133986269,0.0389889973792065,0.9658648959224272,0.9658648959224272,0.0,0,1,0.0119766416657076,0.0348992234725577,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,101,sampled_star_fisher,31,1,4.0,0.0424395825820465,0.3431778840330123,4,1024,100,,0.569133556693001,30,1.286634133986269,0.0424395825820465,0.9609043933038603,0.9609043933038603,0.0,0,1,0.0110271867423442,0.0321325681385793,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,101,sampled_full_fisher,31,1,5.0,0.0772009503321253,0.3431778840329977,5,1280,496,,0.4647963328003022,30,1.286634133986269,0.0772009503321253,0.9275368151670526,0.9275368151670526,0.0,0,1,0.03961015159619,0.1154216324510627,,-1,,,0
ct_w3_i5,3,evaluation,problem_tree,256,101,protected_ray_star,31,1,21.0,0.0652958825185159,0.3431778840329977,21,5376,100,,0.9710626587196368,30,1.286634133986269,0.0652958825185159,0.9374577240757918,0.9374577240757918,0.0,0,1,0.0217367517647316,0.0633396054235289,,-1,,,0
ct_w3_i5,3,evaluation,width2,256,0,sampled_adam,41,0,,1.012968570042398,0.3209268415495603,199,50944,82,,0.316293195846398,40,0.38967990958282,1.012968570042398,2.193475207740295e-08,0.9741183458030238,1.0,5,1,0.0026227900388238,0.0081725480678399,278401306.0797938,41,4.945316020266003e-10,0.1376782439019383,1
ct_w3_i5,3,evaluation,width2,256,0,sampled_diagonal_fisher,41,0,,1.000039265076179,0.3209268415495603,199,50944,41,,0.4080346249439319,40,0.38967990958282,1.000039265076179,3.630006249632297e-16,0.9989627333248804,1.0,5,1,1.3650187902420336e-05,4.253364360709714e-05,425427771994.7165,33,1.5063837058361212e-14,0.00640857463743,1
ct_w3_i5,3,evaluation,width2,256,0,sampled_two_block_fisher,41,0,,1.000135867928439,0.3209268415495603,199,50944,461,,0.49858128578889,40,0.38967990958282,1.000135867928439,2.2710385837216398e-10,0.6376594499305486,1.0,5,1,3.308918906368126e-05,0.000103105084336,,-1,,,0
ct_w3_i5,3,evaluation,width2,256,0,sampled_star_fisher,41,0,,1.0001212735005254,0.3209268415495603,199,50944,197,,0.5898505502690508,40,0.38967990958282,1.0001212735005254,1.5644749297030068e-11,0.5685511698703275,1.0,5,1,2.331067798805428e-05,7.263548874722102e-05,,-1,,,0
