instance_id,instance_width,graph,compiled_graph_width,edge_count,target_edge_count,pair_weight_fraction,target_norm_fraction,elimination_order,elimination_degrees,edges,energy_at_projected_target,cost_variance,explained_variance_fraction,projected_identity_relative_residual,exact_ng_projected_target_cosine,parameter_dimension
ct_w4_i3,4,problem_tree,1,15,15,0.5675675675675675,0.8666666666666667,3 4 5 6 7 2 8 9 11 12 14 1 13 10 0 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-8;0-9;0-10;0-15;1-11;1-12;1-13;1-14;2-6;2-7;2-14;3-10;4-6;5-8;10-13,-6.420551158340247,2.9682723041848886,0.6146630973485875,1.4575769974430874,0.8712912208169419,31
ct_w4_i3,4,width2,2,25,25,0.8378378378378378,0.95,5 3 4 7 8 9 12 0 15 10 6 11 13 1 2 14,1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 0,0-8;0-9;0-10;0-15;1-11;1-12;1-13;1-14;2-6;2-7;2-10;2-13;2-14;2-15;3-10;3-13;4-6;4-11;5-8;6-7;6-11;8-15;9-10;10-13;11-12,-7.293880218520063,2.615412377439727,0.8350641805521793,0.6446006180640768,0.9666560429692612,41
ct_w4_i3,4,width3,3,29,29,0.9459459459459459,0.9833333333333333,3 4 5 7 9 12 6 14 1 11 13 0 2 8 10 15,2 2 2 2 2 2 2 3 3 3 3 3 3 2 1 0,0-8;0-9;0-10;0-15;1-11;1-12;1-13;1-14;2-6;2-7;2-8;2-10;2-13;2-14;2-15;3-10;3-13;4-6;4-11;5-8;5-11;6-7;6-11;8-11;8-15;9-10;10-13;11-12;13-14,-7.533986256825228,2.504743849004502,0.9314533138281114,0.7273435834699321,0.9905902633125058,45
ct_w4_i3,4,full,4,31,31,1.0,1.0,9 0 12 1 3 4 5 7 6 10 11 2 8 13 14 15,2 3 2 3 2 2 2 2 2 4 4 4 3 2 1 0,0-8;0-9;0-10;0-15;1-11;1-12;1-13;1-14;2-6;2-7;2-8;2-10;2-13;2-14;2-15;3-10;3-13;4-6;4-11;5-8;5-11;6-7;6-11;8-11;8-14;8-15;9-10;10-13;11-12;13-14;14-15,-7.52737189475292,2.345591124022352,0.9999999999997893,5.091497359203702e-13,1.0,47
ct_w4_i4,4,chain,1,15,2,0.0425531914893617,0.7383720930232558,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15,-3.163030456173596,3.5740866149550796,0.8421177144610273,2.0252499588003623,-0.9101826798984451,31
ct_w4_i4,4,problem_tree,1,15,15,0.574468085106383,0.8837209302325582,2 3 6 7 8 9 5 10 11 13 0 12 1 14 4 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-7;0-10;0-12;0-13;1-6;1-8;1-12;1-15;2-8;3-12;4-11;4-14;4-15;5-9;5-13,-8.485746003787947,3.9279633386509936,0.919372557553911,0.9113913873361046,0.7476488445847201,31
ct_w4_i4,4,width2,2,28,28,0.851063829787234,0.9593023255813954,2 3 6 7 8 1 9 5 10 11 14 4 0 12 13 15,2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 0,0-7;0-10;0-12;0-13;1-6;1-8;1-12;1-15;2-8;2-12;3-12;3-15;4-11;4-13;4-14;4-15;5-9;5-13;5-15;6-15;7-12;8-12;9-13;10-13;11-13;12-15;13-15;14-15,-8.649702138820157,2.961435213033795,0.8404168705420894,0.7807069130571006,0.9419678848900547,44
ct_w4_i4,4,width3,3,34,34,0.9787234042553191,0.9941860465116279,2 3 7 9 11 14 8 1 0 4 5 10 6 12 13 15,2 2 2 2 2 2 3 3 3 3 3 3 3 2 1 0,0-7;0-10;0-12;0-13;1-6;1-8;1-12;1-15;2-8;2-12;3-12;3-15;4-6;4-11;4-13;4-14;4-15;5-6;5-9;5-13;5-15;6-10;6-12;6-15;7-12;8-12;8-15;9-13;10-12;10-13;11-13;12-15;13-15;14-15,-9.086449394577329,2.8545466402376087,0.9517659150662244,0.3265931253806815,0.9973220304211383,50
ct_w4_i4,4,full,4,35,35,1.0,1.0,7 0 2 8 1 3 9 5 10 12 6 11 13 4 14 15,2 3 2 3 3 2 2 4 4 3 3 2 2 2 1 0,0-7;0-10;0-12;0-13;1-6;1-8;1-12;1-15;2-8;2-12;3-12;3-15;4-6;4-11;4-13;4-14;4-15;5-6;5-9;5-10;5-13;5-15;6-10;6-12;6-15;7-12;8-12;8-15;9-13;10-12;10-13;11-13;12-15;13-15;14-15,-9.177591656192924,2.909209760063351,0.9999999999997882,1.6337531685822113e-13,1.0000000000000002,51
ct_w4_i5,4,chain,1,15,1,0.023809523809523808,0.7266666666666667,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15,-2.880556202876362,3.1536984161471207,0.7247956047154595,2.3063041388975987,-0.9332835621144789,31
ct_w4_i5,4,problem_tree,1,15,15,0.5714285714285714,0.88,1 2 5 7 9 10 11 3 8 12 4 6 13 14 0 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-6;0-8;0-10;0-13;0-14;0-15;1-6;2-9;3-7;3-8;3-11;4-6;4-12;5-9;6-9,-7.358127828502238,3.5410366940803906,0.7197944374392297,0.7886697059770708,0.8877220468223661,31
ct_w4_i5,4,width2,2,28,28,0.8809523809523809,0.9666666666666667,1 2 5 7 11 3 8 10 12 4 13 14 9 0 6 15,2 2 2 2 1 2 2 2 2 2 2 2 2 2 1 0,0-6;0-8;0-9;0-10;0-13;0-14;0-15;1-6;1-15;2-6;2-9;3-7;3-8;3-11;3-15;4-6;4-9;4-12;5-9;5-14;6-9;6-12;6-15;7-11;8-15;9-13;9-14;10-13,-8.085136787733786,2.953567745738171,0.8838929641714586,0.5853176140259952,0.9867628059206549,44
ct_w4_i5,4,width3,3,32,32,0.9761904761904762,0.9933333333333333,1 5 7 11 3 10 12 4 2 6 14 8 0 9 13 15,2 2 2 1 2 2 2 2 3 3 3 3 3 2 1 0,0-6;0-8;0-9;0-10;0-13;0-14;0-15;1-6;1-15;2-6;2-9;2-15;3-7;3-8;3-11;3-15;4-6;4-9;4-12;5-9;5-14;6-9;6-12;6-15;7-11;8-13;8-15;9-13;9-14;9-15;10-13;14-15,-8.15373429842972,2.694404748576024,0.9448109032114959,0.394923309627311,0.9979015486928853,48
ct_w4_i5,4,full,4,33,33,1.0,1.0,1 2 7 11 3 12 4 6 8 10 13 0 5 9 14 15,2 3 2 1 2 2 3 4 3 2 3 3 2 2 1 0,0-6;0-8;0-9;0-10;0-13;0-14;0-15;1-6;1-15;2-6;2-9;2-15;3-7;3-8;3-11;3-15;4-6;4-9;4-12;4-13;5-9;5-14;6-9;6-12;6-15;7-11;8-13;8-15;9-13;9-14;9-15;10-13;14-15,-8.268773456537788,2.660552849397914,0.9999999999993425,3.191853972917394e-13,0.9999999999999997,49
ct_w5_i1,5,chain,1,15,1,0.02631578947368421,0.7063492063492064,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-1;1-2;2-3;3-4;4-5;5-6;6-7;7-8;8-9;9-10;10-11;11-12;12-13;13-14;14-15,-2.9468973666774185,3.6811140398263786,0.7007139602335125,2.505092626513664,-0.9310678976069011,31
ct_w5_i1,5,problem_tree,1,15,15,0.47368421052631576,0.8412698412698413,4 5 7 9 10 12 0 11 13 14 2 8 1 6 3 15,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0,0-11;0-12;1-6;1-7;1-8;1-13;2-8;2-10;2-14;3-6;3-9;3-15;4-6;5-9;6-11,-6.580508590502102,3.302800296190008,0.5547300072560359,1.5307303463032838,0.7684333281943879,31
ct_w5_i1,5,width2,2,27,27,0.7894736842105263,0.9365079365079365,0 4 5 7 10 14 15 9 2 13 8 1 3 6 11 12,2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 0,0-11;0-12;1-6;1-7;1-8;1-12;1-13;2-8;2-10;2-13;2-14;3-6;3-9;3-12;3-15;4-6;4-11;5-9;5-15;6-11;7-13;8-12;8-14;9-12;9-15;10-13;11-12,-7.667094893373056,3.0819259016285434,0.6913501147702169,1.3265219619352537,0.9679383078933298,43
ct_w5_i1,5,width3,3,32,32,0.9210526315789473,0.9761904761904762,0 5 7 10 13 2 8 11 1 4 14 12 3 6 9 15,2 2 3 3 2 3 3 3 3 3 3 3 3 2 1 0,0-11;0-12;1-6;1-7;1-8;1-11;1-12;1-13;2-8;2-10;2-13;2-14;3-6;3-9;3-12;3-15;4-6;4-9;4-14;5-9;5-15;6-11;6-15;7-10;7-13;8-12;8-14;9-12;9-14;9-15;10-13;11-12,-8.18532820813679,2.989012011134097,0.9030033548561662,0.5632741342283414,0.9921168804281499,48
