instance_id,instance_width,split,graph,sample_budget,seed,method,parameter_dimension,success,first_success_step,minimum_gap,initial_gradient_rms,sample_batches,total_samples,stored_metric_entries,max_bag_feature_block,first_direction_cosine_exact_ng,first_direction_cosine_projected_target,first_sample_rank,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_trap_candidate
ct_w3_i3,3,evaluation,width2,256,0,sampled_bag_fisher,42,1,7.0,0.04111582394136626,0.22374957660664213,7,1792,259,6,0.5835258825070344,0.4966493763933877,41,0.04111582394136626,0.9617013905648156,0.9617013905648156,0.0,0,1,0.02044065049153262,0.09135503539954332,,-1,0
ct_w3_i3,3,evaluation,width2,256,19,sampled_bag_fisher,42,1,5.0,0.04471883123755305,0.1593278521942175,5,1280,259,6,0.7739126364642072,0.7559004485136989,42,0.04471883123755305,0.9606320096345163,0.9606320096345163,0.0,0,1,0.013914024700525286,0.08732951903201686,,-1,0
ct_w3_i3,3,evaluation,width2,256,42,sampled_bag_fisher,42,0,,1.0001473139813157,0.19426094677965577,199,50944,259,6,0.643393238263305,0.6005715566899262,40,1.0001473139813157,6.111379482893455e-28,0.7183927924418636,1.0,9,1,6.703757827355135e-05,0.000345090350813486,,-1,0
ct_w3_i3,3,evaluation,width2,256,50,sampled_bag_fisher,42,0,,1.0000954095577104,0.26334498600714573,199,50944,259,6,0.6368513799428526,0.6013326875727824,41,1.0000954095577104,6.593735299096267e-26,0.8136549248311409,1.0,11,1,2.8616871195526264e-05,0.0001086668541877982,,-1,0
ct_w3_i3,3,evaluation,width2,256,101,sampled_bag_fisher,42,0,,1.0001454954661106,0.20311661695101849,199,50944,259,6,0.6525569690808615,0.6047512452828057,39,1.0001454954661106,5.909314521529772e-16,0.7944659730652153,1.0,11,1,3.775094465068609e-05,0.00018585847488681694,,-1,0
ct_w3_i3,3,evaluation,width3,256,0,sampled_bag_fisher,47,1,7.0,0.02282698332406241,0.25826842483566576,7,1792,425,10,0.6955341433409568,0.6955341433409504,47,0.02282698332406241,0.9782730133911921,0.9782730133911921,0.0,0,1,0.012432675097986966,0.04813857948720516,,-1,0
ct_w3_i3,3,evaluation,width3,256,19,sampled_bag_fisher,47,1,8.0,0.04881322174217573,0.1823748607149769,8,2048,425,10,0.7560000156223796,0.7560000156224341,46,0.04881322174217573,0.9526512011110163,0.9526512011110163,0.0,0,1,0.030006544516816863,0.1645322408975673,,-1,0
ct_w3_i3,3,evaluation,width3,256,42,sampled_bag_fisher,47,1,6.0,0.04892891921080711,0.16729880977912573,6,1536,425,10,0.6883693412116869,0.6883693412117762,47,0.04892891921080711,0.9543929923160452,0.9543929923160452,0.0,0,1,0.013711587492783974,0.08195866731440908,,-1,0
ct_w3_i3,3,evaluation,width3,256,50,sampled_bag_fisher,47,0,,1.000150079404932,0.2208103966119831,199,50944,425,10,0.6380922143575031,0.6380922143576415,45,1.000150079404932,5.220930132645196e-29,0.4829770542634306,1.0,9,1,2.9055007567278715e-05,0.0001315835124300571,,-1,0
ct_w3_i3,3,evaluation,width3,256,101,sampled_bag_fisher,47,1,6.0,0.04709913876924432,0.17031286065976392,6,1536,425,10,0.5892787049219738,0.58927870492207,45,0.04709913876924432,0.9549609469784144,0.9549609469784144,0.0,0,1,0.023129844004515836,0.13580797078338439,,-1,0
ct_w3_i4,3,evaluation,chain,256,0,sampled_bag_fisher,31,0,,2.0001032147519986,0.28922025089425946,199,50944,91,3,0.4912147083837333,-0.3494627364067364,29,2.0001032147519986,2.7652563951642927e-27,0.5168567000546735,2.0,6,1,2.4020907946465797e-05,8.305403190887894e-05,,-1,0
ct_w3_i4,3,evaluation,chain,256,19,sampled_bag_fisher,31,0,,1.0000486441516543,0.31633511884675863,199,50944,91,3,0.857640462427032,-0.7219087785722084,28,1.0000486441516543,1.4218572898806874e-30,0.9461464781287813,1.0,10,1,1.1776929664421009e-05,3.722928300643747e-05,608795433.4643285,31,1
ct_w3_i4,3,evaluation,chain,256,42,sampled_bag_fisher,31,0,,2.000123722282474,0.30752051364751637,199,50944,91,3,0.8930236566018311,-0.8630816232064762,26,2.000123722282474,4.751017452179598e-30,0.9985047967665357,2.0,10,1,3.047062400626642e-05,9.90848501287046e-05,28079298.29552995,31,1
ct_w3_i4,3,evaluation,chain,256,50,sampled_bag_fisher,31,0,,2.0000963785553836,0.31878614764859814,199,50944,91,3,0.7106434502610767,-0.6319406424614703,24,2.0000963785553836,1.205875370943897e-32,0.5897267321194544,2.0,8,1,2.294625800378622e-05,7.198009754514226e-05,,-1,0
ct_w3_i4,3,evaluation,chain,256,101,sampled_bag_fisher,31,0,,1.0002439808310495,0.3715828326881299,199,50944,91,3,0.8702410722001328,-0.7503419582850694,27,1.0002439808310495,5.633432110215104e-26,0.8019264872458928,1.0,9,1,6.710712307510835e-05,0.00018059801791605232,,-1,0
ct_w3_i4,3,evaluation,problem_tree,256,0,sampled_bag_fisher,31,1,4.0,0.044508116974885326,0.34181567890583037,4,1024,91,3,0.5836408958957419,0.36100402562669714,29,0.044508116974885326,0.9625578352445263,0.9625578352445263,0.0,0,1,0.012151341945694205,0.03554939897605422,,-1,0
ct_w3_i4,3,evaluation,problem_tree,256,19,sampled_bag_fisher,31,1,7.0,0.0420682761430875,0.3574199741901258,7,1792,91,3,0.3807062564342767,0.16255342895151914,29,0.0420682761430875,0.970546202566613,0.970546202566613,0.0,0,1,0.012341447352445247,0.034529260376143234,,-1,0
ct_w3_i4,3,evaluation,problem_tree,256,42,sampled_bag_fisher,31,1,7.0,0.08786384495456545,0.3351706402027204,7,1792,91,3,0.26655313645289985,0.07388010729010744,28,0.08786384495456545,0.9154749751431438,0.9154749751431438,0.0,0,1,0.03581635114036389,0.1068600493130937,,-1,0
ct_w3_i4,3,evaluation,problem_tree,256,50,sampled_bag_fisher,31,1,3.0,0.07323279749603806,0.3715714802806538,3,768,91,3,0.5112778107713639,0.3278038157225965,27,0.07323279749603806,0.937963723302235,0.937963723302235,0.0,0,1,0.016355919869045006,0.04401823266062057,,-1,0
ct_w3_i4,3,evaluation,problem_tree,256,101,sampled_bag_fisher,31,1,4.0,0.07767329266035361,0.2674613794182149,4,1024,91,3,0.5356700633562905,0.36203537245833406,28,0.07767329266035361,0.9326914720568019,0.9326914720568019,0.0,0,1,0.020193069344122686,0.07549900994321829,,-1,0
ct_w3_i4,3,evaluation,width2,256,0,sampled_bag_fisher,43,0,,1.0002368559746522,0.24945985279995456,199,50944,274,6,0.6195530862723408,0.5926268916107476,42,1.0002368559746522,1.59489498928122e-18,0.667841890799538,1.0,9,1,5.149088540176235e-05,0.00020640950767758862,,-1,0
ct_w3_i4,3,evaluation,width2,256,19,sampled_bag_fisher,43,0,,1.0002266796813934,0.2564877917419865,199,50944,274,6,0.6461354375760606,0.6234016973063399,41,1.0002266796813934,1.15194903719984e-12,0.5321244798775847,1.0,7,1,6.042055447902605e-05,0.00023556892929939532,,-1,0
ct_w3_i4,3,evaluation,width2,256,42,sampled_bag_fisher,43,0,,1.0001200342789325,0.3081280653110313,199,50944,274,6,0.7179168157177853,0.6657663097120353,43,1.0001200342789325,2.4489443317598014e-23,0.48120941859408156,1.0,8,1,3.672268272319806e-05,0.00011917993476553125,,-1,0
ct_w3_i4,3,evaluation,width2,256,50,sampled_bag_fisher,43,0,,1.0003215055898398,0.24344680861613546,199,50944,274,6,0.6434714762263242,0.6285435357586991,41,1.0003215055898398,5.828646708548135e-23,0.7682384516940981,1.0,9,1,7.809395499334363e-05,0.00032078446802102635,,-1,0
ct_w3_i4,3,evaluation,width2,256,101,sampled_bag_fisher,43,0,,1.000175983130422,0.2894385305531326,199,50944,274,6,0.6223967831850581,0.5840319519506911,41,1.000175983130422,2.72547620875698e-19,0.678464091309837,1.0,9,1,3.9644534150557277e-05,0.00013697047892965197,,-1,0
ct_w3_i4,3,evaluation,width3,256,0,sampled_bag_fisher,46,0,,1.0002519595179304,0.17889831202208228,199,50944,381,10,0.5636031055290875,0.5636031055291634,43,1.0002519595179304,2.726750689276048e-16,0.9265930441478349,1.0,9,1,7.001344055346485e-05,0.0003913588661743368,726997669177.1813,46,1
ct_w3_i4,3,evaluation,width3,256,19,sampled_bag_fisher,46,0,,1.0002238677639763,0.22545831310199252,199,50944,381,10,0.6207721212922451,0.6207721212923404,42,1.0002238677639763,1.828967155305232e-17,0.9810568533535929,1.0,8,1,7.187283451547104e-05,0.0003187854709218786,887702125890.7462,46,1
ct_w3_i4,3,evaluation,width3,256,42,sampled_bag_fisher,46,0,,1.0001474468616625,0.21354137253850985,199,50944,381,10,0.638742832445657,0.6387428324456321,46,1.0001474468616625,3.576288672018345e-15,0.9805537089486561,1.0,8,1,3.000749949405517e-05,0.00014052311801378745,719492586124.3202,44,1
ct_w3_i4,3,evaluation,width3,256,50,sampled_bag_fisher,46,1,4.0,0.06288233711436142,0.20113613984870357,4,1024,381,10,0.5879439322531153,0.5879439322530328,44,0.06288233711436142,0.9396922448627012,0.9396922448627012,0.0,0,1,0.015002735071242482,0.0745899522707738,,-1,0
ct_w3_i4,3,evaluation,width3,256,101,sampled_bag_fisher,46,1,5.0,0.0839529391785856,0.17293933297266043,5,1280,381,10,0.6720770275740288,0.6720770275740421,44,0.0839529391785856,0.9198514601510688,0.9198514601510688,0.0,0,1,0.03824613949554952,0.22115350416897794,,-1,0
ct_w3_i5,3,evaluation,chain,256,0,sampled_bag_fisher,31,0,,1.000092116420186,0.29101358603843613,199,50944,91,3,0.7717869710620898,-0.5139564468862439,25,1.000092116420186,9.697139263407718e-20,0.9999376800185537,1.0,3,1,2.211888309301571e-05,7.60063589955361e-05,309230.45181984134,31,1
ct_w3_i5,3,evaluation,chain,256,19,sampled_bag_fisher,31,0,,1.0000797739139013,0.34201730883584025,199,50944,91,3,0.7087431613456329,-0.4451607509302706,26,1.0000797739139013,7.381799003850893e-24,0.9999322171161651,1.0,6,1,1.8815418847289766e-05,5.5013060337015566e-05,55597.81433225179,31,1
ct_w3_i5,3,evaluation,chain,256,42,sampled_bag_fisher,31,0,,1.0001059160058663,0.346093038183594,199,50944,91,3,0.890748417353285,-0.7386374565581726,27,1.0001059160058663,1.8904711964135142e-33,0.9989378388637957,1.0,8,1,2.6450496099384e-05,7.642596984384486e-05,4393081.965403827,31,1
ct_w3_i5,3,evaluation,chain,256,50,sampled_bag_fisher,31,0,,1.0001504595658393,0.25767372165948643,199,50944,91,3,0.8671979531256818,-0.7922750067144856,27,1.0001504595658393,5.907523757354912e-29,0.9998925783563753,1.0,8,1,3.717902627657923e-05,0.0001442872250889091,10448437.636790141,31,1
ct_w3_i5,3,evaluation,chain,256,101,sampled_bag_fisher,31,0,,2.0001127053358303,0.35263892008005965,199,50944,91,3,0.8852700211927739,-0.7596744283490404,26,2.0001127053358303,2.087335709628838e-34,0.9998996024938994,2.0,10,1,2.9596518938224924e-05,8.392867960095166e-05,400509.5087475115,31,1
ct_w3_i5,3,evaluation,problem_tree,256,0,sampled_bag_fisher,31,1,4.0,0.04725175611706689,0.3772475281891726,4,1024,91,3,0.5429912659486732,0.3072011179133792,28,0.04725175611706689,0.9570317458683338,0.9570317458683338,0.0,0,1,0.014278047341308215,0.03784795465683852,,-1,0
ct_w3_i5,3,evaluation,problem_tree,256,19,sampled_bag_fisher,31,1,4.0,0.04035399471841927,0.34654456130844424,4,1024,91,3,0.6299411998933208,0.46287863590217665,30,0.04035399471841927,0.9618059495053339,0.9618059495053339,0.0,0,1,0.010621411798387003,0.0306494834554144,,-1,0
ct_w3_i5,3,evaluation,problem_tree,256,42,sampled_bag_fisher,31,1,4.0,0.09368251179510345,0.3598818802016043,4,1024,91,3,0.45739286184535927,0.2152780521982648,29,0.09368251179510345,0.9132516494743259,0.9132516494743259,0.0,0,1,0.03275989421030223,0.09102957390338819,,-1,0
