instance_id,instance_width,split,graph,seed,budget,success,first_success_step,minimum_gap,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_fisher_condition,final_fisher_rank,gradient_evaluations,iterations,mean_accepted_alpha,minimum_accepted_alpha,first_direction_cosine_exact_natural,first_direction_cosine_projected_target,final_target_beta,final_transverse_norm,initial_target_beta
ct_w3_i3,3,evaluation,chain,101,200,0,,2.0000000001127187,2.0000000001127187,5.000880920567813e-66,0.3521468299974732,2.0,8,1,2.5476720812580618e-11,148535915277.7047,14,64,32,1.0,1.0,1.0,-0.8769763272471505,2.7166431247421845,29.505659529674826,0.994539648160794
ct_w3_i3,3,evaluation,problem_tree,0,200,0,,1.0000000000643965,1.0000000000643965,1.2086861572983909e-23,0.570512643894255,1.0,6,1,1.4348906851362394e-11,450521241739.6159,15,60,30,1.0,1.0,1.0,0.9484204726430748,5.178375878749511,25.442459096279304,1.0288437860186368
ct_w3_i3,3,evaluation,problem_tree,19,200,0,,1.000000000352129,1.000000000352129,4.765036102424741e-25,0.38501602207040675,1.0,6,1,1.4859088669981267e-10,677348265686.7253,23,64,32,1.0,1.0,1.0,0.9631521216281625,4.952762596624329,29.93610184875307,1.0050576721422357
ct_w3_i3,3,evaluation,problem_tree,42,200,0,,1.0000000010784529,1.0000000010784529,5.149109458673269e-25,0.5284105092088144,1.0,6,1,2.4647460895632486e-10,360034125709.9199,23,85,42,0.9878048780487805,0.5,1.0,0.9314759459990228,5.005604741846508,28.37566738811498,1.0492821264874383
ct_w3_i3,3,evaluation,problem_tree,50,200,1,17.0,0.04503356845910034,0.04503356845910034,0.9557438359755331,0.9557438359755331,0.0,0,1,0.04219162429369164,180960114091.38214,24,36,18,1.0,1.0,1.0,0.9149095973497773,4.877522496070846,27.246031557819222,0.9980798353419911
ct_w3_i3,3,evaluation,problem_tree,101,200,0,,1.0000000002535696,1.0000000002535696,2.67453070126706e-23,0.33811222796486884,1.0,6,1,9.438672216856071e-11,544318730409.4609,22,70,35,1.0,1.0,1.0,0.9459543248161518,4.845144790932867,29.984106981971923,1.0205416339575168
ct_w3_i3,3,evaluation,width2,0,200,1,26.0,0.0616941586110471,0.0616941586110471,0.939669154000939,0.939669154000939,0.0,0,1,0.03828857592516682,368547974916.0056,36,54,27,1.0,1.0,1.0,0.9827939395054652,9.302510901190285,27.125194065890298,1.0541204359496659
ct_w3_i3,3,evaluation,width2,19,200,1,11.0,0.06253472890508327,0.06253472890508327,0.9390492308195636,0.9390492308195636,0.0,0,1,0.032866360103578615,11527943703.829714,42,24,12,1.0,1.0,1.0,0.9922443318684396,6.360886177952758,7.415182403138464,1.0296069078724743
ct_w3_i3,3,evaluation,width2,42,200,1,13.0,0.07801264083485471,0.07801264083485471,0.922576712533835,0.922576712533835,0.0,0,1,0.07528824415925169,12136578545.810442,42,28,14,1.0,1.0,1.0,0.9880059096622953,7.3645849102464,8.974846821504505,1.0516831767371304
ct_w3_i3,3,evaluation,width2,50,200,1,14.0,0.09776463442956285,0.09776463442956285,0.9023203388023254,0.9023203388023254,0.0,0,1,0.12959289652637612,31958146741.464977,42,30,15,1.0,1.0,1.0,0.9920379248311841,7.539701333161637,11.50748968137532,0.9940892509773794
