instance_id,instance_width,split,graph,sample_budget,seed,method,parameter_dimension,success,first_success_step,minimum_gap,initial_gradient_rms,sample_batches,total_samples,first_direction_cosine_exact_ng,first_direction_cosine_projected_target,first_sample_rank,final_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_dominant_hamming,final_dominant_local_min,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_trap_candidate
ct_w5_i2,5,evaluation,width3,64,50,independent_full_fisher,48,0,,1.0000349956090222,0.40010313293607686,199,12736,0.18403690827332655,0.10580741693210313,24,1.0000349956090222,9.332410088662139e-38,0.9999670586783922,1.0,10,1,1.4956829886686413e-05,3.738243631567868e-05,841839036429.1823,40,1
ct_w5_i2,5,evaluation,width3,64,101,independent_full_fisher,48,0,,2.0004333586882304,0.15479157221583575,199,12736,0.19189849780517293,0.18571589551743198,27,2.0004333586882304,4.6836681629348774e-24,0.9997778495843503,2.0,6,1,0.00021055767885564344,0.0013602657808918011,326699396728.8532,41,1
ct_w5_i2,5,evaluation,width3,256,0,independent_full_fisher,48,1,17.0,0.08359621635818826,0.2106452935366698,17,4352,0.4063024330752639,0.45480876836180406,41,0.08359621635818826,0.9276873630436868,0.9276873630436868,0.0,0,1,0.05097735224332614,0.2420056550394839,,-1,0
ct_w5_i2,5,evaluation,width3,256,19,independent_full_fisher,48,0,,1.0000066297905903,0.20683236540195996,199,50944,0.5275516381366847,0.5115521337082312,44,1.0000066297905903,1.1176275733486634e-44,0.9021800152851831,1.0,7,1,2.204449590998314e-06,1.0658146207989092e-05,151423391862.68982,19,1
ct_w5_i2,5,evaluation,width3,256,42,independent_full_fisher,48,0,,1.000083606391165,0.2134648285820362,199,50944,0.6684654857407906,0.6448650122598918,42,1.000083606391165,6.078112967608168e-30,0.8218915073032362,1.0,7,1,7.580754443117277e-05,0.00035512896871457835,,-1,0
ct_w5_i2,5,evaluation,width3,256,50,independent_full_fisher,48,0,,1.0000256024992424,0.40010313293607686,199,50944,0.6232451596052373,0.6389355261174673,44,1.0000256024992424,4.232386609753548e-29,0.7618982970908682,1.0,7,1,1.3397078663407011e-05,3.348406338409607e-05,,-1,0
ct_w5_i2,5,evaluation,width3,256,101,independent_full_fisher,48,0,,1.0000288386008922,0.15479157221583575,199,50944,0.550684864412813,0.5329482710391054,44,1.0000288386008922,4.0492937105583915e-35,0.8489028032564795,1.0,10,1,1.1535963483337501e-05,7.452578533960603e-05,,-1,0
ct_w5_i2,5,evaluation,width3,1024,0,independent_full_fisher,48,1,12.0,0.054160598235590385,0.2106452935366698,12,12288,0.8211949762777122,0.8204687832002393,48,0.054160598235590385,0.9742902260753075,0.9742902260753075,0.0,0,1,0.031241385166616866,0.14831276142981217,,-1,0
ct_w5_i2,5,evaluation,width3,1024,19,independent_full_fisher,48,1,11.0,0.08541318332757797,0.20683236540195996,11,11264,0.8462549638032616,0.8476800194293399,48,0.08541318332757797,0.9513492555978229,0.9513492555978229,0.0,0,1,0.05654274612357778,0.2733747497094668,,-1,0
ct_w5_i2,5,evaluation,width3,1024,42,independent_full_fisher,48,1,16.0,0.05621328980600815,0.2134648285820362,16,16384,0.7422209367124051,0.7185002553839799,46,0.05621328980600815,0.9449166765038659,0.9449166765038659,0.0,0,1,0.07181127931303787,0.3364080152690832,,-1,0
ct_w5_i2,5,evaluation,width3,1024,50,independent_full_fisher,48,0,,1.0000215969371347,0.40010313293607686,199,203776,0.7935018414758618,0.7431494549386396,48,1.0000215969371347,6.638797451582932e-25,0.8261925605144779,1.0,7,1,1.356138670738876e-05,3.3894727611531645e-05,,-1,0
ct_w5_i2,5,evaluation,width3,1024,101,independent_full_fisher,48,1,13.0,0.08056196127580684,0.15479157221583575,13,13312,0.8832472069821061,0.8833471311000286,48,0.08056196127580684,0.9223392304729986,0.9223392304729986,0.0,0,1,0.08173844498205057,0.5280548792932825,,-1,0
ct_w5_i3,5,evaluation,problem_tree,256,0,independent_full_fisher,31,1,14.0,0.07117731148379391,0.4827351531560164,14,3584,0.3266408813171438,0.4265584171404559,22,0.07117731148379391,0.930409869923235,0.930409869923235,0.0,0,1,0.04015116434599312,0.08317431221549462,,-1,0
ct_w5_i3,5,evaluation,problem_tree,256,19,independent_full_fisher,31,1,14.0,0.060034872080951374,0.40907340611210813,14,3584,0.42938504909975517,0.2537333279683063,27,0.060034872080951374,0.953292761240792,0.953292761240792,0.0,0,1,0.031085498975317986,0.07599002651078933,,-1,0
ct_w5_i3,5,evaluation,problem_tree,256,42,independent_full_fisher,31,1,62.0,0.06920629602671546,0.40448392861383536,62,15872,0.49405931463847297,0.379278525006209,29,0.06920629602671546,0.9309211772314938,0.9309211772314938,0.0,0,1,0.050816463845574374,0.12563283792194704,,-1,0
ct_w5_i3,5,evaluation,problem_tree,256,50,independent_full_fisher,31,1,13.0,0.04136238114876534,0.4860807392751189,13,3328,0.424777146111695,-0.0013807694692471923,26,0.04136238114876534,0.9655950147649941,0.9655950147649941,0.0,0,1,0.01959615484471157,0.04031460879098988,,-1,0
