instance_id,instance_width,graph,seed,method,parameter_dimension,exact_ng_norm,exact_ng_target_cosine,exact_alignment_residual,exact_explained_variance,sample_rank,sample_alignment_residual,direction_cosine_exact_ng,direction_relative_error_exact_ng,direction_cosine_target
ct_w6_i2,6,width3,101,sampled_two_block_fisher,47,5.692201058043301,0.9882436144982643,0.2232429304800419,0.9545289637196553,43,0.20295519664224185,0.36555713457075206,0.9972467710467142,0.32726138021991963
ct_w6_i2,6,width3,101,sampled_star_fisher,47,5.692201058043301,0.9882436144982643,0.2232429304800419,0.9545289637196553,43,0.20295519664224185,0.40659840244613094,1.089404972958972,0.38148830989979343
ct_w6_i2,6,width3,101,sampled_full_fisher,47,5.692201058043301,0.9882436144982643,0.2232429304800419,0.9545289637196553,43,0.20295519664224185,0.7465099197812136,0.6655734739282753,0.7221519055426515
ct_w6_i2,6,width3,101,protected_ray_star,47,5.692201058043301,0.9882436144982643,0.2232429304800419,0.9545289637196553,43,0.20295519664224185,0.968394402148736,0.2550477726724307,0.9788004632943854
ct_w6_i3,6,chain,0,sampled_diagonal_fisher,31,2.644527712342298,-0.8249445358542572,2.2847935789896514,0.7965948856343048,25,2.3084262679850522,0.6262075048984327,0.8646299729960409,-0.4938581709753735
ct_w6_i3,6,chain,0,sampled_two_block_fisher,31,2.644527712342298,-0.8249445358542572,2.2847935789896514,0.7965948856343048,25,2.3084262679850522,0.7084154873978106,0.7636550433306775,-0.5905114735230598
ct_w6_i3,6,chain,0,sampled_star_fisher,31,2.644527712342298,-0.8249445358542572,2.2847935789896514,0.7965948856343048,25,2.3084262679850522,0.3411416805130912,1.1479183938650943,-0.11765886175164487
ct_w6_i3,6,chain,0,sampled_full_fisher,31,2.644527712342298,-0.8249445358542572,2.2847935789896514,0.7965948856343048,25,2.3084262679850522,0.7537810573328265,0.7017391861185661,-0.6296765038016862
ct_w6_i3,6,chain,0,protected_ray_star,31,2.644527712342298,-0.8249445358542572,2.2847935789896514,0.7965948856343048,25,2.3084262679850522,0.7920686387456423,0.6515631728732416,-0.9804879296515244
ct_w6_i3,6,chain,19,sampled_diagonal_fisher,31,2.8203836161319495,-0.8562684934210405,2.440872809130575,0.79299044640211,26,2.3554231256624054,0.7641702453401101,0.6867747151139005,-0.654740898382789
ct_w6_i3,6,chain,19,sampled_two_block_fisher,31,2.8203836161319495,-0.8562684934210405,2.440872809130575,0.79299044640211,26,2.3554231256624054,0.8372873163929594,0.5704606622845093,-0.7372870841449356
ct_w6_i3,6,chain,19,sampled_star_fisher,31,2.8203836161319495,-0.8562684934210405,2.440872809130575,0.79299044640211,26,2.3554231256624054,0.2531715726569846,1.222152549678652,0.0005685810963973692
ct_w6_i3,6,chain,19,sampled_full_fisher,31,2.8203836161319495,-0.8562684934210405,2.440872809130575,0.79299044640211,26,2.3554231256624054,0.8272115376131353,0.5878579120618596,-0.6592109970986111
ct_w6_i3,6,chain,19,protected_ray_star,31,2.8203836161319495,-0.8562684934210405,2.440872809130575,0.79299044640211,26,2.3554231256624054,0.8651692081503457,0.5251295067524114,-0.9794457137796599
ct_w6_i3,6,chain,42,sampled_diagonal_fisher,31,2.5339963192400274,-0.8627060720442536,2.4417038393941755,0.7063194625961731,28,2.4312884675984616,0.7211462693320717,0.7467981396172976,-0.6468205907203317
ct_w6_i3,6,chain,42,sampled_two_block_fisher,31,2.5339963192400274,-0.8627060720442536,2.4417038393941755,0.7063194625961731,28,2.4312884675984616,0.8744646348543541,0.5010695862764887,-0.7871383782355058
ct_w6_i3,6,chain,42,sampled_star_fisher,31,2.5339963192400274,-0.8627060720442536,2.4417038393941755,0.7063194625961731,28,2.4312884675984616,0.13570424222373725,1.2942546284432397,0.08173825823935538
ct_w6_i3,6,chain,42,sampled_full_fisher,31,2.5339963192400274,-0.8627060720442536,2.4417038393941755,0.7063194625961731,28,2.4312884675984616,0.8870045184569354,0.47538506821957355,-0.7382791736347946
ct_w6_i3,6,chain,42,protected_ray_star,31,2.5339963192400274,-0.8627060720442536,2.4417038393941755,0.7063194625961731,28,2.4312884675984616,0.8624292427710816,0.5297431441521754,-0.9816696412623188
ct_w6_i3,6,chain,50,sampled_diagonal_fisher,31,2.3699381751325337,-0.7149734820952341,2.5766674149354474,0.6708262354008565,24,2.6095558244662738,0.6658800970706151,0.8177649183118572,-0.6519688282234959
ct_w6_i3,6,chain,50,sampled_two_block_fisher,31,2.3699381751325337,-0.7149734820952341,2.5766674149354474,0.6708262354008565,24,2.6095558244662738,0.8021152256135757,0.629337509397696,-0.8029353332519262
ct_w6_i3,6,chain,50,sampled_star_fisher,31,2.3699381751325337,-0.7149734820952341,2.5766674149354474,0.6708262354008565,24,2.6095558244662738,0.18288745699136058,1.2744946284602763,0.07434375541684339
ct_w6_i3,6,chain,50,sampled_full_fisher,31,2.3699381751325337,-0.7149734820952341,2.5766674149354474,0.6708262354008565,24,2.6095558244662738,0.7856788991702595,0.6273398461739558,-0.6894566229686386
