instance_id,instance_width,split,graph,samples_per_batch,total_samples_per_update,seed,method,success,first_success_step,minimum_gap,sample_batches,total_samples,first_direction_cosine_exact_ng,first_sample_rank,final_gap,final_pstar,final_dominant_probability,final_gradient_ratio,final_trap_candidate
ct_w4_i1,4,calibration,width3,64,128,42,independent_equal_full_fisher,1,30.0,0.053269826921491514,30,3840,0.23658886647190222,38,0.053269826921491514,0.9468069276834572,0.9468069276834572,0.12718752573091116,0
ct_w4_i1,4,calibration,width3,64,128,50,independent_equal_full_fisher,0,,1.0000019301086542,199,25472,0.25915376565446474,37,1.0000019301086542,5.787949496229627e-41,0.9999979524846193,4.771465157290373e-06,1
ct_w4_i1,4,calibration,width3,64,128,101,independent_equal_full_fisher,0,,1.0000115339670579,199,25472,0.30624918400645385,33,1.0000115339670579,8.251586249349481e-14,0.4874416363111804,2.676622381627674e-05,0
ct_w4_i1,4,calibration,width3,256,512,0,independent_equal_full_fisher,1,12.0,0.08133080633058398,12,6144,0.6592533030671757,47,0.08133080633058398,0.9217103355530222,0.9217103355530222,0.2665851739609185,0
ct_w4_i1,4,calibration,width3,256,512,19,independent_equal_full_fisher,1,14.0,0.09691222555975187,14,7168,0.7592110810215861,48,0.09691222555975187,0.9058675112679797,0.9058675112679797,0.3129533238657071,0
ct_w4_i1,4,calibration,width3,256,512,42,independent_equal_full_fisher,1,12.0,0.08463969205731203,12,6144,0.7856296908459687,46,0.08463969205731203,0.9226373309119796,0.9226373309119796,0.324379495065538,0
ct_w4_i1,4,calibration,width3,256,512,50,independent_equal_full_fisher,1,11.0,0.06946240433523165,11,5632,0.7799983147800709,48,0.06946240433523165,0.9326852560092997,0.9326852560092997,0.2505052463062615,0
ct_w4_i1,4,calibration,width3,256,512,101,independent_equal_full_fisher,1,14.0,0.04046860974364641,14,7168,0.4701750355005973,44,0.04046860974364641,0.9624141310748907,0.9624141310748907,0.11714154124564641,0
ct_w4_i2,4,evaluation,problem_tree,256,512,0,independent_equal_full_fisher,1,12.0,0.09344434173992333,12,6144,0.4910325135853108,28,0.09344434173992333,0.9147105712625831,0.9147105712625831,0.09529415044026027,0
ct_w4_i2,4,evaluation,problem_tree,256,512,19,independent_equal_full_fisher,1,15.0,0.046387742596772696,15,7680,0.5960924890905462,28,0.046387742596772696,0.9550502379212528,0.9550502379212528,0.06303171037264185,0
ct_w4_i2,4,evaluation,problem_tree,256,512,42,independent_equal_full_fisher,1,13.0,0.09224959765270313,13,6656,0.005858499136866061,23,0.09224959765270313,0.9110068431623021,0.9110068431623021,0.16430786424156504,0
ct_w4_i2,4,evaluation,problem_tree,256,512,50,independent_equal_full_fisher,1,8.0,0.058464447869813085,8,4096,0.42484411892302004,27,0.058464447869813085,0.9440511414294156,0.9440511414294156,0.04022319532912138,0
