instance_id,instance_width,split,graph,seed,method,parameter_dimension,gap,direction_cosine_exact_natural,direction_cosine_projected_target,direction_relative_error_exact_natural,direction_norm,exact_natural_norm,fisher_rank,fisher_condition
ct_w5_i3,5,evaluation,problem_tree,42,exact_natural,31,5.1564678180657415,1.0,0.835348262996262,0.0,2.9838401462654365,2.9838401462654365,31,455.25768744615135
ct_w5_i3,5,evaluation,problem_tree,42,exact_regularized_full,31,5.1564678180657415,0.7932242895189872,0.4501251176306867,0.6377859686247394,1.8009016036928571,2.9838401462654365,31,455.25768744615135
ct_w5_i3,5,evaluation,problem_tree,42,exact_diagonal,31,5.1564678180657415,0.43494977669553475,0.16728496012225347,1.0603532631408927,2.968585521759479,2.9838401462654365,31,455.25768744615135
ct_w5_i3,5,evaluation,problem_tree,42,exact_two_block,31,5.1564678180657415,0.1610736522499388,-0.241626322949492,1.2238254981022512,2.6399239440359095,2.9838401462654365,31,455.25768744615135
ct_w5_i3,5,evaluation,problem_tree,42,exact_star,31,5.1564678180657415,0.7702941799947745,0.589751001515189,0.6442470760469244,2.57202890211111,2.9838401462654365,31,455.25768744615135
ct_w5_i3,5,evaluation,problem_tree,42,projected_target,31,5.1564678180657415,0.835348262996262,1.0,1.2786300365101817,5.937171043518958,2.9838401462654365,31,455.25768744615135
ct_w5_i3,5,evaluation,problem_tree,50,exact_natural,31,4.853692048788345,1.0,0.807923223112597,0.0,3.030660190577912,3.030660190577912,31,867.3426266743057
ct_w5_i3,5,evaluation,problem_tree,50,exact_regularized_full,31,4.853692048788345,0.7515701931619648,0.37146541554839924,0.6788357096525579,1.7921320504653449,3.030660190577912,31,867.3426266743057
ct_w5_i3,5,evaluation,problem_tree,50,exact_diagonal,31,4.853692048788345,0.4437893075279945,0.21982018779728307,1.0440574886722631,2.968585521759479,3.030660190577912,31,867.3426266743057
ct_w5_i3,5,evaluation,problem_tree,50,exact_two_block,31,4.853692048788345,0.14413214010924538,-0.221461647044361,1.2308932762385691,2.655358848202224,3.030660190577912,31,867.3426266743057
ct_w5_i3,5,evaluation,problem_tree,50,exact_star,31,4.853692048788345,0.7106603210683734,0.48607541475655325,0.7476577250286194,2.920653732877589,3.030660190577912,31,867.3426266743057
ct_w5_i3,5,evaluation,problem_tree,50,projected_target,31,4.853692048788345,0.807923223112597,1.0,1.293181985347896,5.937171043518958,3.030660190577912,31,867.3426266743057
ct_w5_i3,5,evaluation,problem_tree,101,exact_natural,31,4.544523377542296,1.0,0.8577772434243423,0.0,3.1215108753579304,3.1215108753579304,31,512.4951270751367
ct_w5_i3,5,evaluation,problem_tree,101,exact_regularized_full,31,4.544523377542296,0.8433940336492008,0.5656629847689801,0.5881351700813262,1.8859993281582923,3.1215108753579304,31,512.4951270751367
ct_w5_i3,5,evaluation,problem_tree,101,exact_diagonal,31,4.544523377542296,0.4758839268864129,0.280774047139706,0.9996391856715087,2.9685855217594788,3.1215108753579304,31,512.4951270751367
ct_w5_i3,5,evaluation,problem_tree,101,exact_two_block,31,4.544523377542296,0.14880965778228994,-0.1950954146604327,1.1981862245003827,2.5765413310651972,3.1215108753579304,31,512.4951270751367
ct_w5_i3,5,evaluation,problem_tree,101,exact_star,31,4.544523377542296,0.7644096631341861,0.6268755979155084,0.6549580954058669,2.745998234989641,3.1215108753579304,31,512.4951270751367
ct_w5_i3,5,evaluation,problem_tree,101,projected_target,31,4.544523377542296,0.8577772434243423,1.0,1.1638976510373602,5.937171043518958,3.1215108753579304,31,512.4951270751367
ct_w5_i3,5,evaluation,width2,0,exact_natural,43,3.7871869414983017,1.0000000000000002,0.979758188283442,0.0,5.198832199409635,5.198832199409635,43,346.5760421091463
ct_w5_i3,5,evaluation,width2,0,exact_regularized_full,43,3.7871869414983017,0.9366789031968327,0.8769777796463867,0.5406267511245291,2.728344482364125,5.198832199409635,43,346.5760421091463
ct_w5_i3,5,evaluation,width2,0,exact_diagonal,43,3.7871869414983017,0.3683405481684376,0.29119712034450074,0.9395833217126782,2.6218973544156525,5.198832199409635,43,346.5760421091463
