instance_id,instance_width,split,graph,seed,sample_budget,method,parameter_dimension,sample_rank,sample_alignment_residual,direction_cosine_exact_natural,direction_cosine_projected_target,exact_natural_cosine_projected_target,direction_relative_error_exact_natural,exact_natural_norm,direction_norm,initial_gap
ct_w6_i1,6,calibration,width3,19,256,sampled_two_block_fisher,48,48,0.3046959794578072,0.5586372664029253,0.5263060698913798,0.9880559082681994,0.8400240149849311,4.901378827462758,2.0857132503224043,3.9866137263897663
ct_w6_i1,6,calibration,width3,19,256,sampled_star_fisher,48,48,0.3046959794578072,0.48145878255799573,0.47831456743351436,0.9880559082681994,0.8798695038807656,4.901378827462758,2.7386127875258306,3.9866137263897663
ct_w6_i1,6,calibration,width3,19,256,sampled_full_fisher,48,48,0.3046959794578072,0.9318104208690172,0.9049811555453786,0.9880559082681994,0.5204886019253581,4.901378827462758,2.7386127875258306,3.9866137263897663
ct_w6_i1,6,calibration,width3,19,256,protected_ray_star,48,48,0.3046959794578072,0.9675701253462778,0.9789720121484232,0.9880559082681994,0.47040223654321833,4.901378827462758,2.7974372643358327,3.9866137263897663
ct_w6_i1,6,calibration,width3,42,256,sampled_adam,48,48,0.5502657922129289,0.23002115648948945,0.23717087517689928,0.9904229628471767,0.993975625014303,4.986038587936542,0.1385640476398643,4.414776529958017
ct_w6_i1,6,calibration,width3,42,256,sampled_diagonal_fisher,48,48,0.5502657922129289,0.361818797917314,0.3499324153095716,0.9904229628471767,0.933429126313713,4.986038587936542,2.0380559496393746,4.414776529958017
ct_w6_i1,6,calibration,width3,42,256,sampled_two_block_fisher,48,48,0.5502657922129289,0.5519803183423974,0.5108255304984597,0.9904229628471767,0.8388342988074019,4.986038587936542,2.2972549322145834,4.414776529958017
ct_w6_i1,6,calibration,width3,42,256,sampled_star_fisher,48,48,0.5502657922129289,0.679813849891948,0.6876395266791433,0.9904229628471767,0.7601124295107861,4.986038587936542,2.3933958279121703,4.414776529958017
ct_w6_i1,6,calibration,width3,42,256,sampled_full_fisher,48,48,0.5502657922129289,0.9052274104005013,0.8858505537289751,0.9904229628471767,0.5543273513368319,4.986038587936542,2.7386127875258306,4.414776529958017
ct_w6_i1,6,calibration,width3,42,256,protected_ray_star,48,48,0.5502657922129289,0.9683927774742357,0.9779714607201474,0.9904229628471767,0.477150862696486,4.986038587936542,2.8002992904406456,4.414776529958017
ct_w6_i1,6,calibration,width3,50,256,sampled_adam,48,46,0.5870744451089958,0.15947164722188192,0.10540935184242459,0.9833214222345837,0.9958365046988604,4.841121256101315,0.13856404915992487,4.7695416159668556
ct_w6_i1,6,calibration,width3,50,256,sampled_diagonal_fisher,48,46,0.5870744451089958,0.33697912517025147,0.2896542979603162,0.9833214222345837,0.946634919964628,4.841121256101315,2.1074781277734447,4.7695416159668556
ct_w6_i1,6,calibration,width3,50,256,sampled_two_block_fisher,48,46,0.5870744451089958,0.4470463054376013,0.3670502575251309,0.9833214222345837,0.8972047015793337,4.841121256101315,1.8278719524822893,4.7695416159668556
ct_w6_i1,6,calibration,width3,50,256,sampled_star_fisher,48,46,0.5870744451089958,0.6616458065849232,0.6025624214198284,0.9833214222345837,0.7755348949758818,4.841121256101315,2.244253310683916,4.7695416159668556
ct_w6_i1,6,calibration,width3,50,256,sampled_full_fisher,48,46,0.5870744451089958,0.8520862323860477,0.804763378409484,0.9833214222345837,0.5969398388648952,4.841121256101315,2.735489733655392,4.7695416159668556
ct_w6_i1,6,calibration,width3,50,256,protected_ray_star,48,46,0.5870744451089958,0.9762529974179873,0.9766416654388649,0.9833214222345837,0.4522820642536308,4.841121256101315,2.8041121779247495,4.7695416159668556
ct_w6_i1,6,calibration,width3,101,256,sampled_adam,48,47,0.3445324123550202,0.33425200029456825,0.3425800801244919,0.9891806562753668,0.9911381870406224,5.03347621785773,0.13856405106318856,4.375730243830761
ct_w6_i1,6,calibration,width3,101,256,sampled_diagonal_fisher,48,47,0.3445324123550202,0.27767609438189533,0.2798338433225866,0.9891806562753668,0.9954610565974915,5.03347621785773,2.710696939867229,4.375730243830761
ct_w6_i1,6,calibration,width3,101,256,sampled_two_block_fisher,48,47,0.3445324123550202,0.4385852070377977,0.426679869815629,0.9891806562753668,0.9027388911505602,5.03347621785773,1.7777101636604302,4.375730243830761
ct_w6_i1,6,calibration,width3,101,256,sampled_star_fisher,48,47,0.3445324123550202,0.5558158373898984,0.565097199136926,0.9891806562753668,0.8313882902893172,5.03347621785773,2.7386127875258306,4.375730243830761
ct_w6_i1,6,calibration,width3,101,256,sampled_full_fisher,48,47,0.3445324123550202,0.8800049477011416,0.8889720057104835,0.9891806562753668,0.5820226384542452,5.03347621785773,2.7362667195193615,4.375730243830761
ct_w6_i1,6,calibration,width3,101,256,protected_ray_star,48,47,0.3445324123550202,0.964748977446683,0.9782729033400531,0.9891806562753668,0.4860055507179421,5.03347621785773,2.7994364130658878,4.375730243830761
ct_w6_i2,6,evaluation,chain,0,256,sampled_adam,31,25,1.7115562044493913,0.6514080361698656,-0.4445906799651542,-0.6415315043458439,0.971965706095293,2.4945587313716797,0.10954449290272249,8.909784927699624
ct_w6_i2,6,evaluation,chain,0,256,sampled_diagonal_fisher,31,25,1.7115562044493913,0.7140915006676981,-0.4638348492600161,-0.6415315043458439,0.7853472876087672,2.4945587313716797,2.6692695630078274,8.909784927699624
ct_w6_i2,6,evaluation,chain,0,256,sampled_two_block_fisher,31,25,1.7115562044493913,0.7108213784456174,-0.6438388461416169,-0.6415315043458439,0.7897902659457956,2.4945587313716797,2.6692695630078274,8.909784927699624
ct_w6_i2,6,evaluation,chain,0,256,sampled_star_fisher,31,25,1.7115562044493913,0.4881387379298842,0.007172218065073385,-0.6415315043458439,1.0489641987061136,2.4945587313716797,2.669269563007828,8.909784927699624
ct_w6_i2,6,evaluation,chain,0,256,sampled_full_fisher,31,25,1.7115562044493913,0.650836361817687,-0.5194231917535488,-0.6415315043458439,0.867260636054097,2.4945587313716797,2.6692695630078282,8.909784927699624
ct_w6_i2,6,evaluation,chain,0,256,protected_ray_star,31,25,1.7115562044493913,0.5895583166865515,-0.9822107241408322,-0.6415315043458439,0.949883886083719,2.4945587313716797,2.7176139471931693,8.909784927699624
ct_w6_i2,6,evaluation,chain,19,256,sampled_adam,31,27,1.857840893215912,0.7071910261358804,-0.5046473337826279,-0.6741060727043768,0.9714174379472493,2.7140200762993856,0.11135527927920574,9.742817772021953
ct_w6_i2,6,evaluation,chain,19,256,sampled_diagonal_fisher,31,27,1.857840893215912,0.8121198974647652,-0.6161967255795052,-0.6741060727043768,0.6081416807717583,2.7140200762993856,2.6692695630078274,9.742817772021953
ct_w6_i2,6,evaluation,chain,19,256,sampled_two_block_fisher,31,27,1.857840893215912,0.8618618423480663,-0.7018240554409952,-0.6741060727043768,0.5215292596365056,2.7140200762993856,2.669269563007828,9.742817772021953
ct_w6_i2,6,evaluation,chain,19,256,sampled_star_fisher,31,27,1.857840893215912,0.6115252759299142,-0.07952957055576011,-0.6741060727043768,0.8743057131202056,2.7140200762993856,2.6692695630078282,9.742817772021953
ct_w6_i2,6,evaluation,chain,19,256,sampled_full_fisher,31,27,1.857840893215912,0.8919956779978454,-0.685911064947414,-0.6741060727043768,0.4612145158041929,2.7140200762993856,2.669269563007828,9.742817772021953
ct_w6_i2,6,evaluation,chain,19,256,protected_ray_star,31,27,1.857840893215912,0.7375907155217349,-0.9788040847242898,-0.6741060727043768,0.7261994615626407,2.7140200762993856,2.7270723576513367,9.742817772021953
ct_w6_i2,6,evaluation,chain,42,256,sampled_adam,31,27,1.9336775577498777,0.7056051661820303,-0.5046473950058842,-0.6680314521762859,0.967362417835784,2.3657426086844073,0.11135526589980489,9.348496280047957
ct_w6_i2,6,evaluation,chain,42,256,sampled_diagonal_fisher,31,27,1.9336775577498777,0.7819587283413597,-0.5186962704603671,-0.6680314521762859,0.7130872746229757,2.3657426086844073,2.6692695630078274,9.348496280047957
