instance_id,graph,method,initialization,seed,success,first_success_step,minimum_normalized_gap,final_step,final_gap,final_normalized_gap,final_pstar,final_dominant_probability,final_dominant_gap,final_gradient_rms,final_gradient_ratio,final_fisher_condition,final_fisher_rank,final_target_cosine,final_transverse_ratio,boundary_trap,mean_accepted_alpha
ising_confirmatory_02,chain,exact_natural,target_biased,42,1,36.0,0.07760677173069416,36,0.034020725413377306,0.07760677173069416,0.9759635197963787,0.9759635197963787,7.105427357601002e-15,0.01916891123972454,0.033341442876964694,84546885782.17471,18,0.4950225342233652,1.7552335012216083,0,1.0
ising_confirmatory_02,chain,exact_natural,target_biased,50,1,30.0,0.08252034015470706,30,0.03617470190827987,0.08252034015470706,0.9844231447561118,0.9844231447561118,7.105427357601002e-15,0.017599871979761025,0.03226672574014236,680114376605.3259,26,0.5053413454976836,1.7075973360629193,0,1.0
ising_confirmatory_02,chain,exact_natural,target_biased,101,1,28.0,0.0748190185381375,28,0.03279864924954268,0.0748190185381375,0.982257683696449,0.982257683696449,7.105427357601002e-15,0.014898638724188418,0.021905614378619015,674510953455.9432,28,0.4931906622793217,1.7638639789112223,0,1.0
ising_confirmatory_02,random_tree,adam,random,0,0,,0.3411763146893752,199,0.149562537659385,0.3411763146893752,0.9737375631694173,0.9737375631694173,7.105427357601002e-15,0.02762134571740879,0.029741045260933022,1782.9332350272225,31,0.6020045713671857,1.3263896620182787,0,
ising_confirmatory_02,random_tree,adam,random,19,0,,7.673059286751661,199,3.3636632120325416,7.673059286751661,1.22578333999735e-09,0.9674700604778816,3.2330227981848587,0.024833563952323518,0.026202086860258073,5236.429988048189,31,0.5152120180968079,1.663514690968331,0,
ising_confirmatory_02,random_tree,adam,random,42,0,,7.47862187361899,199,3.278427069686245,7.47862187361899,2.301061965035278e-15,0.9719945019327538,3.129661776992716,0.029068934795618572,0.03469203929332551,2394.5341993672164,31,0.376497938097113,2.4606176081307813,0,
ising_confirmatory_02,random_tree,adam,random,50,0,,9.662785396717714,199,4.235905725480755,9.662785396717714,1.0102296036199423e-12,0.9662874614272975,4.110644508176264,0.024254460304262978,0.025985761683585667,10086.347133425741,31,0.5052238656215481,1.708130556980184,0,
ising_confirmatory_02,random_tree,adam,random,101,0,,0.30840341162737017,199,0.13519577672851213,0.30840341162737017,0.9690266507896138,0.9690266507896138,7.105427357601002e-15,0.025958456879069603,0.029051059329394387,12799.032807465466,31,0.6349110061623578,1.216840269110059,0,
ising_confirmatory_02,random_tree,adam,target_biased,0,0,,0.16430945112453396,199,0.07202885257137481,0.16430945112453396,0.9840039495098905,0.9840039495098905,7.105427357601002e-15,0.01746758658883017,0.021135813273902935,20579.39071562287,31,0.8445335181455256,0.6340810445598488,0,
ising_confirmatory_02,random_tree,adam,target_biased,19,0,,0.13423115268997027,199,0.058843333973914724,0.13423115268997027,0.9850938088404037,0.9850938088404037,7.105427357601002e-15,0.014154718282762867,0.016929853324996958,22966.82337502714,31,0.8195339924187227,0.6992151347893509,0,
ising_confirmatory_02,random_tree,adam,target_biased,42,0,,0.21825917435788583,199,0.09567896298466039,0.21825917435788583,0.9807750817591633,0.9807750817591633,7.105427357601002e-15,0.021968476121270872,0.022138998914565652,22366.001093148607,31,0.7983895039932581,0.7541949668039872,0,
ising_confirmatory_02,random_tree,adam,target_biased,50,0,,0.17159903950141467,199,0.07522441243059674,0.17159903950141467,0.9841476567462352,0.9841476567462352,7.105427357601002e-15,0.018726911967764718,0.028263705559615566,50744.39315828271,31,0.8513383891542934,0.6162261205074653,0,
ising_confirmatory_02,random_tree,adam,target_biased,101,0,,0.13775468987660816,199,0.060387958089016536,0.13775468987660816,0.9856689412997802,0.9856689412997802,7.105427357601002e-15,0.013803967536431557,0.015421854293893464,120791.26209757345,31,0.8220473381069818,0.6926841417214028,0,
ising_confirmatory_02,random_tree,exact_natural,target_biased,0,1,13.0,0.08250796905840552,13,0.036169278751756906,0.08250796905840552,0.9597477455690494,0.9597477455690494,7.105427357601002e-15,0.02085221078036259,0.025231215037092844,478929495831.17584,24,0.8218693389916895,0.693146723160751,0,1.0
ising_confirmatory_02,random_tree,exact_natural,target_biased,19,1,18.0,0.07258766849678609,18,0.03182048529084369,0.07258766849678609,0.9289025139633817,0.9289025139633817,7.105427357601002e-15,0.02545297436035476,0.03044321434008816,293139140366.643,15,0.7534010733089972,0.8727904598018221,0,1.0
ising_confirmatory_02,random_tree,exact_natural,target_biased,42,1,17.0,0.08331233410474967,17,0.03652189079531354,0.08331233410474967,0.9177626389268463,0.9177626389268463,7.105427357601002e-15,0.02909215394209517,0.029317971851621497,228250410032.78323,14,0.7023428403388787,1.0135204624599625,0,1.0
ising_confirmatory_02,random_tree,exact_natural,target_biased,50,1,13.0,0.07571873402653803,13,0.03319306036726388,0.07571873402653803,0.9653370564784629,0.9653370564784629,7.105427357601002e-15,0.019012749954808582,0.02869510827659732,790980980981.1328,28,0.8434700825074765,0.6368645013787196,0,1.0
ising_confirmatory_02,random_tree,exact_natural,target_biased,101,1,14.0,0.08250536837652253,14,0.036168138682633355,0.08250536837652253,0.9606184893333716,0.9606184893333716,7.105427357601002e-15,0.020880643379370817,0.023327948208334396,944429299757.8992,23,0.8053514763411489,0.7360731576497612,0,1.0
ising_confirmatory_02,problem_tree,adam,random,0,0,,0.30151438988898727,199,0.1321758145306049,0.30151438988898727,0.9752898945138097,0.9752898945138097,7.105427357601002e-15,0.02561888840400496,0.023805421627008383,473.86286392044195,31,0.6790630913348216,1.081018718145358,0,
