instance_id,width,split,parameter_seed,sample_budget,method,stream_seed,success,first_success_step,minimum_gap,final_gap,final_pstar,final_dominant_probability,final_fisher_condition,final_gradient_rms_ratio,final_trap,sample_batches,total_samples,first_direction_cosine,first_direction_relative_error,first_sample_rank,maximum_sample_identity_residual,parameter_dimension,stored_metric_entries
ct_w3_i4,3,evaluation,101,64,sampled_full_fisher,2302859120308249635,1,7.0,0.07428837358745355,0.07428837358745355,0.9348976879207515,0.9348976879207515,,0.1351198048813827,0,7,448,0.48499306895422906,1.0000003018961874,35,0.0,46,1081
ct_w3_i4,3,evaluation,101,64,ray_plus_residual,2302859120308249635,1,9.0,0.03474945928124029,0.03474945928124029,0.966003179204966,0.966003179204966,,0.11834360118542643,0,9,576,0.9803266324272721,0.20134319967059222,35,0.0,46,601
ct_w3_i4,3,evaluation,0,256,sampled_adam,17132178373895094345,0,,1.0104078169044843,1.0104078169044843,1.5184663069155936e-13,0.9859445682732962,62781333.19103223,0.011148560831933814,1,199,50944,0.2465247529044386,0.9895208490034468,44,0.0,46,92
ct_w3_i4,3,evaluation,0,256,sampled_diagonal_fisher,17132178373895094345,1,3.0,0.023703190090817117,0.023703190090817117,0.9772053951856712,0.9772053951856712,,0.03372227385474524,0,3,768,0.29040730326878933,1.0177337216882492,44,0.0,46,46
ct_w3_i4,3,evaluation,0,256,sampled_two_block_fisher,17132178373895094345,1,4.0,0.07175105019103079,0.07175105019103079,0.9399277092069346,0.9399277092069346,,0.12125025002296089,0,4,1024,0.4517757515386718,0.911898724817602,44,0.0,46,601
ct_w3_i4,3,evaluation,0,256,sampled_full_fisher,17132178373895094345,1,9.0,0.05047077752954188,0.05047077752954188,0.9539659666054645,0.9539659666054645,,0.15099170290680922,0,9,2304,0.827250423195895,0.5877917604119759,44,0.0,46,1081
ct_w3_i4,3,evaluation,0,256,ray_plus_residual,17132178373895094345,1,6.0,0.08322316057473778,0.08322316057473778,0.9211496548290344,0.9211496548290344,,0.2739990569398512,0,6,1536,0.9790626145817402,0.2079124633025194,44,0.0,46,601
ct_w3_i4,3,evaluation,19,256,sampled_adam,12556481055851994542,0,,1.012668183350355,1.012668183350355,1.282509886538676e-15,0.9868317896948735,1107724168.5443776,0.010578094387021557,1,199,50944,0.2823298754401687,0.9877062516136457,41,0.0,46,92
ct_w3_i4,3,evaluation,19,256,sampled_diagonal_fisher,12556481055851994542,0,,1.000035894600396,1.000035894600396,1.520143630225154e-30,0.768401055636535,,3.385178517881494e-05,0,199,50944,0.37957440946291876,1.0104346246285263,41,0.0,46,46
ct_w3_i4,3,evaluation,19,256,sampled_two_block_fisher,12556481055851994542,1,9.0,0.06400952689210726,0.06400952689210726,0.9429725835900802,0.9429725835900802,,0.21980028919040012,0,9,2304,0.4290922273352424,0.9546112691156207,41,0.0,46,601
