instance_id,width,split,parameter_seed,sample_budget,gradient_samples_per_update,fisher_samples_per_update,method,success,first_success_step,minimum_gap,final_gap,final_pstar,final_dominant_probability,final_fisher_condition,final_gradient_rms_ratio,final_trap,sample_batches,total_samples,first_direction_cosine,first_direction_relative_error,first_sample_rank,first_gradient_fisher_mismatch,parameter_dimension,stored_metric_entries
ct_w5_i3,5,evaluation,50,4096,2048,2048,independent_full_fisher,1,26.0,0.040330682433930676,0.040330682433930676,0.9683136311145365,0.9683136311145365,,0.12455076162330164,0,26,106496,0.9682618801708207,0.25194491393627777,50,0.13329481787371772,50,1275
ct_w5_i3,5,evaluation,101,4096,2048,2048,independent_full_fisher,1,35.0,0.06351792121952116,0.06351792121952116,0.9558595388982386,0.9558595388982386,,0.24865646795506843,0,35,143360,0.9820452794813146,0.1894978655219393,50,0.15562885472642896,50,1275
ct_w5_i4,5,evaluation,0,64,32,32,independent_full_fisher,0,,1.00002739084435,1.00002739084435,2.2343338152999252e-27,0.9999832717654974,669780582884.8081,4.4704023035397e-05,1,199,12736,0.0708620184244808,1.363185960590498,23,0.844758064516129,51,1326
ct_w5_i4,5,evaluation,19,64,32,32,independent_full_fisher,0,,2.0001049288972297,2.0001049288972297,4.349799316821955e-33,0.9995516395128976,377378513671.1777,0.00015349943868870787,1,199,12736,0.09700548057361352,1.343870915993338,28,0.5887096774193548,51,1326
ct_w5_i4,5,evaluation,42,64,32,32,independent_full_fisher,0,,1.0000093558119616,1.0000093558119616,3.761507585837841e-16,0.9989499976009111,974826766829.1094,1.9006016718231197e-05,1,199,12736,0.1987442086130869,1.2659034650295522,31,0.9516129032258065,51,1326
ct_w5_i4,5,evaluation,50,64,32,32,independent_full_fisher,0,,2.0000309177462263,2.0000309177462263,6.840955675793824e-30,0.5032205436398414,,6.174651343677549e-05,0,199,12736,0.11497843397215128,1.3304296794854273,27,0.6915322580645162,51,1326
ct_w5_i4,5,evaluation,101,64,32,32,independent_full_fisher,0,,1.0000597144137249,1.0000597144137249,1.746577933544702e-24,0.9999682590281745,460449687921.10095,0.0001240244683120822,1,199,12736,0.0565955985599696,1.3736115909819855,26,0.6955645161290324,51,1326
ct_w5_i4,5,evaluation,0,256,128,128,independent_full_fisher,0,,1.0000005573645243,1.0000005573645243,1.494324271162263e-35,0.9999991319881796,806463531224.9,5.474821047234779e-07,1,199,50944,0.4941692419757752,1.0058138575543936,44,0.3743848425196852,51,1326
ct_w5_i4,5,evaluation,19,256,128,128,independent_full_fisher,0,,2.0000080937138076,2.0000080937138076,6.324146390774219e-32,0.6078477661732796,,1.4099953046151119e-05,0,199,50944,0.24911611000186765,1.2254663520457283,47,0.5027066929133854,51,1326
ct_w5_i4,5,evaluation,42,256,128,128,independent_full_fisher,0,,1.000229755029057,1.000229755029057,9.016424534679885e-28,0.9998757234429523,165764213017.654,0.0008793905954344025,1,199,50944,0.5284415396949291,0.971142070250353,49,0.46764271653543316,51,1326
ct_w5_i4,5,evaluation,50,256,128,128,independent_full_fisher,0,,1.0000009872512479,1.0000009872512479,4.8399615989401635e-18,0.9999937582872743,778663065571.6345,1.4042157973991347e-06,1,199,50944,0.1485222849237127,1.304973344613818,49,0.4333169291338584,51,1326
ct_w5_i4,5,evaluation,101,256,128,128,independent_full_fisher,0,,1.0000383612589712,1.0000383612589712,9.927967902119427e-18,0.5424552020626832,,8.26148330073466e-05,0,199,50944,0.07602481839037087,1.3593933806000595,44,0.31803641732283433,51,1326
ct_w5_i4,5,evaluation,0,1024,512,512,independent_full_fisher,1,46.0,0.08259663621937818,0.08259663621937818,0.9213164032014206,0.9213164032014206,,0.2154784175065765,0,46,47104,0.818962159002469,0.6017272488387588,51,0.2475538160469668,51,1326
ct_w5_i4,5,evaluation,19,1024,512,512,independent_full_fisher,1,61.0,0.07533594030166135,0.07533594030166135,0.9249771778110173,0.9249771778110173,,0.2534906425739874,0,61,62464,0.8892761831766873,0.4705822283582598,51,0.2273804427592952,51,1326
ct_w5_i4,5,evaluation,42,1024,512,512,independent_full_fisher,1,51.0,0.08787735356496462,0.08787735356496462,0.9205497431697437,0.9205497431697437,,0.46314231744954254,0,51,52224,0.9468531559872512,0.32602712774476017,51,0.21206121575342474,51,1326
ct_w5_i4,5,evaluation,50,1024,512,512,independent_full_fisher,0,,1.0000039045540294,1.0000039045540294,1.2050802572499638e-20,0.985642449019118,939007802889.2598,1.0590260812026375e-05,1,199,203776,0.9295333935314584,0.375410725655359,51,0.2153941413894328,51,1326
ct_w5_i4,5,evaluation,101,1024,512,512,independent_full_fisher,1,50.0,0.08223501155768176,0.08223501155768176,0.9409242651146691,0.9409242651146691,,0.21493484514805258,0,50,51200,0.7277195863131831,0.7379436478306686,49,0.2043328033268102,51,1326
ct_w5_i4,5,evaluation,0,4096,2048,2048,independent_full_fisher,1,32.0,0.0843423142387465,0.0843423142387465,0.9260460537659636,0.9260460537659636,,0.1539764426568289,0,32,131072,0.8942477479925934,0.4598961883021136,51,0.074213979298974,51,1326
ct_w5_i4,5,evaluation,19,4096,2048,2048,independent_full_fisher,1,59.0,0.051176102102987286,0.051176102102987286,0.9496732964477795,0.9496732964477795,,0.18683804183105368,0,59,241664,0.9696023212541578,0.24656714601034097,51,0.1261411516853932,51,1326
ct_w5_i4,5,evaluation,42,4096,2048,2048,independent_full_fisher,1,37.0,0.07074770333293579,0.07074770333293579,0.9417857652437932,0.9417857652437932,,0.3573999466496831,0,37,151552,0.9859758980951376,0.1674759797992679,51,0.1273471849047385,51,1326
ct_w5_i4,5,evaluation,50,4096,2048,2048,independent_full_fisher,1,61.0,0.061774150014702656,0.061774150014702656,0.953642223915335,0.953642223915335,,0.2377871703709568,0,61,249856,0.984086234889168,0.1784027192103978,51,0.08782669760625297,51,1326
ct_w5_i4,5,evaluation,101,4096,2048,2048,independent_full_fisher,1,49.0,0.044735908864169005,0.044735908864169005,0.9558852784157789,0.9558852784157789,,0.10159906786826058,0,49,200704,0.8916922068075137,0.46541979586709925,50,0.13812896922325357,51,1326
