instance_id,checkpoint,sample_budget,method,trajectories,successes,success_rate,mean_first_success,mean_initial_rank,mean_direction_cosine,median_final_gap
ct_w6_i1,999,64,sampled_adam,5,0,0.0,,0.4,,1.0004327347458908
ct_w6_i1,999,64,sampled_full_fisher,5,0,0.0,,0.4,,1.0003794797216798
ct_w6_i1,999,256,ray_plus_residual,5,5,1.0,21.0,1.0,0.994840352078155,0.05937759604031
ct_w6_i1,999,256,sampled_adam,5,0,0.0,,1.0,,1.0001374306078823
ct_w6_i1,999,256,sampled_full_fisher,5,0,0.0,,1.0,,1.0001530892293449
ct_w6_i1,999,1024,ray_plus_residual,5,5,1.0,20.2,2.0,0.9916029611042572,0.066140280248744
ct_w6_i1,999,1024,sampled_adam,5,0,0.0,,2.0,0.0318018221385816,1.0000717495508145
ct_w6_i1,999,1024,sampled_full_fisher,5,0,0.0,,2.0,0.0518475847382431,1.0000531663423349
ct_w6_i1,999,4096,ray_plus_residual,5,5,1.0,19.0,3.8,0.9815685097823975,0.0606817779517534
ct_w6_i1,999,4096,sampled_adam,5,0,0.0,,3.8,0.0381250560583533,1.0000206093656452
ct_w6_i1,999,4096,sampled_full_fisher,5,0,0.0,,3.8,0.08250229773579221,1.0000087705945582
