instance_id,checkpoint,sample_replicate,sample_budget,method,stream_seed,success,first_success_step,minimum_gap,final_gap,final_pstar,final_dominant_probability,final_fisher_condition,final_gradient_rms_ratio,final_trap,sample_batches,total_samples,first_direction_cosine,first_direction_relative_error,first_sample_rank,maximum_sample_identity_residual,parameter_dimension,stored_metric_entries
ct_w5_i1,999,2,64,sampled_adam,1462899914946763579,0,,1.000383040403694,1.0004303508382328,8.060760773654104e-17,0.9772595188435785,,0.7654369785013887,0,199,12736,,1.0,0,0.0,51,102
ct_w5_i1,999,2,64,sampled_full_fisher,1462899914946763579,0,,1.000304753495037,1.000304753495037,4.038850352743735e-18,0.9955200285563692,,0.5424765987063386,0,199,12736,,1.0,0,0.0,51,1326
ct_w5_i1,999,2,64,ray_plus_residual,1462899914946763579,1,25.0,0.04986197931697234,0.04986197931697234,0.9501561714171642,0.9501561714171642,,402.5521176641187,0,25,1600,0.9949541443088158,0.1008395284874068,0,0.0,51,766
ct_w5_i1,999,3,64,sampled_adam,1383923455472923960,0,,1.0003287356326638,1.0007015469247307,1.551571988091808e-16,0.8729603105857434,,2.280305381937289,0,199,12736,,1.0,0,0.0,51,102
ct_w5_i1,999,3,64,sampled_full_fisher,1383923455472923960,0,,1.000246346813631,1.000246346813631,7.003093659702134e-18,0.9959131970394818,,0.44852395842400783,0,199,12736,,1.0,0,0.0,51,1326
ct_w5_i1,999,3,64,ray_plus_residual,1383923455472923960,1,25.0,0.05466653241558994,0.05466653241558994,0.9453409089195843,0.9453409089195843,,445.28215270935067,0,25,1600,0.9949541443088158,0.1008395284874068,0,0.0,51,766
ct_w5_i1,999,4,64,sampled_adam,1631642788011504667,0,,1.000365427841853,1.000365427841853,6.855404127774935e-18,0.9982291716442245,,0.6906307754434421,0,199,12736,,1.0,0,0.0,51,102
ct_w5_i1,999,4,64,sampled_full_fisher,1631642788011504667,0,,1.0004687652067457,1.0004687652067457,7.452100871635927e-18,0.9969358104302138,,0.8302392420071941,0,199,12736,,1.0,0,0.0,51,1326
ct_w5_i1,999,4,64,ray_plus_residual,1631642788011504667,1,24.0,0.09700973060657425,0.09700973060657425,0.9030045032141195,0.9030045032141195,,810.9711135182504,0,24,1536,0.9949541443088158,0.1008395284874068,0,0.0,51,766
ct_w5_i1,999,0,256,sampled_adam,10721575883025319618,0,,1.0000960613979561,1.0000960613979561,4.121365917704694e-20,0.996869657798375,,0.15526132202040402,0,199,50944,,1.0,0,0.0,51,102
ct_w5_i1,999,0,256,sampled_full_fisher,10721575883025319618,0,,1.0001447370671315,1.0001447370671315,4.580078488749419e-19,0.9964639096081676,,0.24778926866168824,0,199,50944,,1.0,0,0.0,51,1326
ct_w5_i1,999,0,256,ray_plus_residual,10721575883025319618,1,24.0,0.0789404236605229,0.0789404236605229,0.9210632493445393,0.9210632493445393,,687.4069530578774,0,24,6144,0.9949541443088158,0.1008395284874068,0,0.0,51,766
ct_w5_i1,999,1,256,sampled_adam,13811875513539722068,0,,1.0002455145008575,1.0002605608321584,4.4524587615703066e-18,0.9342461365861595,,0.7073159112508919,0,199,50944,,1.0,1,0.0,51,102
ct_w5_i1,999,1,256,sampled_full_fisher,13811875513539722068,0,,1.0001362966347678,1.0001362966347678,1.398159672048387e-19,0.9987949300340037,,0.253775796802849,0,199,50944,,1.0,1,0.0,51,1326
ct_w5_i1,999,1,256,ray_plus_residual,13811875513539722068,1,23.0,0.09145320185432304,0.09145320185432304,0.9085519396517165,0.9085519396517165,,819.4247210958081,0,23,5888,0.9949541443088158,0.1008395284874068,1,0.0,51,766
ct_w5_i1,999,2,256,sampled_adam,9550333329691283319,0,,1.0000968206426517,1.0000968206426517,1.3096154690672444e-18,0.9725527676585127,,0.17398445367782975,0,199,50944,,1.0,1,0.0,51,102
ct_w5_i1,999,2,256,sampled_full_fisher,9550333329691283319,0,,1.0001346078796054,1.0001346078796054,1.825122636810019e-19,0.9986201237534335,,0.2364093394980594,0,199,50944,,1.0,1,0.0,51,1326
ct_w5_i1,999,2,256,ray_plus_residual,9550333329691283319,1,24.0,0.060446668328475894,0.060446668328475894,0.9395713612486422,0.9395713612486422,,522.9742037630621,0,24,6144,0.9949541443088158,0.1008395284874068,1,0.0,51,766
ct_w5_i1,999,3,256,sampled_adam,4432257825214601437,0,,1.000125009451578,1.000125009451578,7.831809009406021e-20,0.9970875020492654,,0.22726003395429614,0,199,50944,,1.0,2,0.0,51,102
ct_w5_i1,999,3,256,sampled_full_fisher,4432257825214601437,0,,1.0001217853414452,1.0001217853414452,1.3064709190500616e-19,0.997629418836969,,0.2375988939854446,0,199,50944,,1.0,2,0.0,51,1326
ct_w5_i1,999,3,256,ray_plus_residual,4432257825214601437,1,24.0,0.08511100708853192,0.08511100708853192,0.9149056570130563,0.9149056570130563,,686.6614628346188,0,24,6144,0.9949541443088158,0.1008395284874068,2,0.0,51,766
ct_w5_i1,999,4,256,sampled_adam,1956625260451466043,0,,1.0002759632208775,1.0002760506044996,5.419976189307857e-18,0.9920686740382355,,0.49879263195197726,0,199,50944,,1.0,0,0.0,51,102
ct_w5_i1,999,4,256,sampled_full_fisher,1956625260451466043,0,,1.000220166170097,1.000220166170097,9.494489573895003e-19,0.9976878255485297,,0.397862975400405,0,199,50944,,1.0,0,0.0,51,1326
ct_w5_i1,999,4,256,ray_plus_residual,1956625260451466043,1,24.0,0.0772694261443796,0.0772694261443796,0.9227381690051719,0.9227381690051719,,672.4803818915134,0,24,6144,0.9949541443088158,0.1008395284874068,0,0.0,51,766
ct_w5_i1,999,0,1024,sampled_adam,12456395985211460046,0,,1.000043392382679,1.000043392382679,3.474740590516657e-21,0.9955868603680742,81919206154.96257,0.06905891898111789,1,199,203776,,1.0,3,0.0,51,102
ct_w5_i1,999,0,1024,sampled_full_fisher,12456395985211460046,0,,1.0000369571415657,1.0000369571415657,2.1007219404428492e-22,0.9956818266612655,123981511883.94392,0.06733289995357132,1,199,203776,,1.0,3,0.0,51,1326
ct_w5_i1,999,0,1024,ray_plus_residual,12456395985211460046,1,24.0,0.03549369482704812,0.03549369482704812,0.9645080429993942,0.9645080429993942,,329.86861903608184,0,24,24576,0.9949541443088158,0.1008395284874068,3,0.0,51,766
ct_w5_i1,999,1,1024,sampled_adam,16562343370258001512,0,,1.0001013299535764,1.0001013299535764,4.183627053884139e-20,0.9968708840460335,,0.1856275450016202,0,199,203776,0.03151754823444347,0.9995678974550501,2,0.0,51,102
ct_w5_i1,999,1,1024,sampled_full_fisher,16562343370258001512,0,,1.000023231758604,1.000023231758604,2.376821810194612e-22,0.9967950112064918,191395487615.2827,0.04123046610620923,1,199,203776,0.051434449985488,1.0000000000000966,2,0.0,51,1326
ct_w5_i1,999,1,1024,ray_plus_residual,16562343370258001512,1,23.0,0.09547107093255747,0.09547107093255747,0.9045370876537387,0.9045370876537387,,834.4238612463487,0,23,23552,0.9793812120438905,0.2062740138628234,2,0.0,51,766
ct_w5_i1,999,2,1024,sampled_adam,1592902319086406734,0,,1.0000426958562372,1.0000426958562372,1.0978685246742154e-21,0.997516052051858,212473535676.49506,0.07425952702432306,1,199,203776,,1.0,2,0.0,51,102
ct_w5_i1,999,2,1024,sampled_full_fisher,1592902319086406734,0,,1.000045875508869,1.000045875508869,5.877080461114539e-22,0.9956790754002174,46566146911.748474,0.08681963543196088,1,199,203776,,1.0,2,0.0,51,1326
ct_w5_i1,999,2,1024,ray_plus_residual,1592902319086406734,1,23.0,0.0556648753928517,0.0556648753928517,0.9443381014642307,0.9443381014642307,,517.2134743873943,0,23,23552,0.9949541443088158,0.1008395284874068,2,0.0,51,766
ct_w5_i1,999,3,1024,sampled_adam,9374760812503546294,0,,1.0000624008935777,1.0000624008935777,2.4808831345508713e-21,0.9980975695318934,,0.1097592484140902,0,199,203776,0.0001566506758149282,1.0002991852023648,3,0.0,51,102
ct_w5_i1,999,3,1024,sampled_full_fisher,9374760812503546294,0,,1.0000426400002382,1.0000426400002382,5.491129920634216e-22,0.9962313313019603,167187993597.37256,0.08041725460854642,1,199,203776,0.05143445093487609,0.9999999999024682,3,0.0,51,1326
ct_w5_i1,999,3,1024,ray_plus_residual,9374760812503546294,1,23.0,0.09221573535954697,0.09221573535954697,0.9077870870870532,0.9077870870870532,,825.7815890448834,0,23,23552,0.9779490804748825,0.21355250150710037,3,0.0,51,766
ct_w5_i1,999,4,1024,sampled_adam,3704780282798633170,0,,1.000123396482163,1.000123396482163,7.800348845295732e-20,0.9978653726287594,,0.24425701687934145,0,199,203776,0.00010077254070633207,1.00030110607601,3,0.0,51,102
ct_w5_i1,999,4,1024,sampled_full_fisher,3704780282798633170,0,,1.0000254857691022,1.0000254857691022,1.9581613089025984e-22,0.9951471819758596,411255108370.7229,0.04436676866085497,1,199,203776,0.05143439069843913,1.0000000060989074,3,0.0,51,1326
ct_w5_i1,999,4,1024,ray_plus_residual,3704780282798633170,1,23.0,0.051918232711992474,0.051918232711992474,0.9480921034118265,0.9480921034118265,,470.17169885958697,0,23,23552,0.9768794786458059,0.21885069069986496,3,0.0,51,766
ct_w5_i1,999,0,4096,sampled_adam,6071857637555699516,0,,1.0000209693303344,1.0000209693303344,4.35719963084907e-23,0.9996472822156752,20094291097.841778,0.033054627081942255,1,199,815104,0.06040997458820326,0.9985855223940482,5,0.0,51,102
ct_w5_i1,999,0,4096,sampled_full_fisher,6071857637555699516,0,,1.0000082322956576,1.0000082322956576,9.785146151162233e-25,0.9957026706845737,601274540110.7484,0.01488309062031117,1,199,815104,0.12036890665896918,0.9999998803505258,5,0.0,51,1326
ct_w5_i1,999,0,4096,ray_plus_residual,6071857637555699516,1,23.0,0.05135658269331955,0.05135658269331955,0.9486459462816615,0.9486459462816615,,482.2059243757029,0,23,94208,0.9781228524928017,0.21268094038753002,5,0.0,51,766
ct_w5_i1,999,1,4096,sampled_adam,2684169605373127941,0,,1.0000203918136084,1.0000203918136084,8.07117585560262e-23,0.9989182196767732,74450107674.40996,0.03311145815266296,1,199,815104,0.000437178870591215,1.0002892794070712,3,0.0,51,102
ct_w5_i1,999,1,4096,sampled_full_fisher,2684169605373127941,0,,1.0000045708852028,1.0000045708852028,1.1036354027873981e-24,0.9957043272845554,320689360024.5429,0.008104275208930065,1,199,815104,0.05143444977576137,1.0000000000214808,3,0.0,51,1326
ct_w5_i1,999,1,4096,ray_plus_residual,2684169605373127941,1,22.0,0.06668744413590133,0.06668744413590133,0.9333149629767941,0.9333149629767941,,617.0234703149118,0,22,90112,0.9782148313476143,0.2122183564926613,3,0.0,51,766
ct_w5_i1,999,2,4096,sampled_adam,14968675361489966459,0,,1.0000279778790002,1.0000279778790002,9.588343453319695e-22,0.998784933636577,28561617945.3397,0.04677491068162124,1,199,815104,,1.0,2,0.0,51,102
ct_w5_i1,999,2,4096,sampled_full_fisher,14968675361489966459,0,,1.0000093494280584,1.0000093494280584,1.3194285487526896e-24,0.9968620389391227,474884086643.5338,0.017164624219954846,1,199,815104,,1.0,2,0.0,51,1326
